directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3267776;1;1;2;2;76; ;2; ; ;1;2; ; ;1; ;08;930,220057933433
3267776;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;930,220057933433
3267776;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;930,220057933433
3267777;1;1;2;2;52; ;2; ; ;1;2; ; ;1; ;08;710,442847957064
3267777;1;2;2;2;52; ;2; ; ;1;2; ; ;1; ;08;710,442847957064
3267778;1;1;2;2;19; ;2; ; ;1;2; ; ;1; ;08;996,761007663588
3267778;1;2;2;2;19; ;2; ; ;1;2; ; ;1; ;08;996,761007663588
3267778;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;996,761007663588
3267779;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;08;979,461382861536
3267780;1;1;2;2;76; ;2; ; ;1;2; ; ;1; ;08;908,896844013626
3267781;1;1;2;2;52; ;2; ; ;1;2; ; ;1; ;08;1077,90520392929
3267781;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;1077,90520392929
3267781;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;1077,90520392929
3267781;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;1077,90520392929
3267782;1;1;2;2;76; ;4; ;2; ;2; ; ;1; ;08;48,9267938101215
3267782;1;2;2;2;76; ;4; ;2; ;2; ; ;1; ;08;48,9267938101215
3267782;1;3;2;2;76; ;4; ;2; ;2; ; ;1; ;08;48,9267938101215
3267783;1;1;2;1; ; ;3;15; ;1;2; ; ;1; ;08;76,3747170519293
3267783;1;2;2;1; ; ;3;15; ;1;2; ; ;1; ;08;76,3747170519293
3267784;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;71,5018266926891
3267784;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;71,5018266926891
3267784;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;71,5018266926891
3267784;1;4;2;2;15; ;3;15; ;2;3;15; ;2;1;08;71,5018266926891
3267786;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;08;90,2340748651191
3267786;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;90,2340748651191
3267787;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;114,166259579746
3267787;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;114,166259579746
3267787;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;114,166259579746
3267787;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;114,166259579746
3267787;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;08;114,166259579746
3267787;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;08;114,166259579746
3267788;1;1;2;2;15; ;3;15; ;2;2; ; ;1; ;08;91,7642008727893
3267788;1;2;2;2;15; ;3;15; ;2;2; ; ;1; ;08;91,7642008727893
3267789;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;08;107,827540130441
3267789;1;2;2;2;15; ;3;15; ;1;2; ; ;1; ;08;107,827540130441
3267790;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;91,7642008727893
3267790;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;91,7642008727893
3267791;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;90,7325681459997
3267791;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;08;90,7325681459997
3267792;1;1;2;2;15; ;3;15; ;2;2; ; ;1; ;08;65,66915678497
3267792;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;65,66915678497
3267792;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;65,66915678497
3267792;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;65,66915678497
3267793;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;90,4097600711961
3267793;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;90,4097600711961
3267793;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;90,4097600711961
3267794;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;107,524116386081
3267795;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;08;109,661089882471
3267795;1;2;2;2;15; ;3;15; ;1;2; ; ;1; ;08;109,661089882471
3267795;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;109,661089882471
3267796;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;08;148,274146178293
3267796;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;08;148,274146178293
3267796;1;3;2;2;47; ;2; ; ;1;2; ; ;1; ;08;148,274146178293
3267796;1;4;2;2;47; ;3;47; ;1;2; ; ;1; ;08;148,274146178293
3267797;1;1;2;2;20; ;2; ; ;1;2; ; ;1; ;08;138,936988971924
3267797;1;2;2;2;20; ;2; ; ;1;2; ; ;1; ;08;138,936988971924
3267797;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;138,936988971924
3267797;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;138,936988971924
3267798;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;118,211646922256
3267798;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;118,211646922256
3267798;1;3;2;2;47; ;2; ; ;1;2; ; ;1; ;08;118,211646922256
3267799;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;155,252256340016
3267799;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;155,252256340016
3267799;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;155,252256340016
3267799;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;155,252256340016
3267799;1;5;2;2;47; ;2; ; ;1;2; ; ;1; ;08;155,252256340016
3267799;1;6;2;2;08; ;2; ; ;1;2; ; ;1; ;08;155,252256340016
3267800;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;08;150,732168676399
3267800;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;150,732168676399
3267800;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;150,732168676399
3267801;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;117,480526304263
3267801;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;117,480526304263
3267801;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;117,480526304263
3267802;1;1;2;2;20; ;2; ; ;1;2; ; ;1; ;08;145,085003062193
3267802;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;08;145,085003062193
3267802;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;145,085003062193
3267802;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;145,085003062193
3267802;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;08;145,085003062193
3267803;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;122,71804053823
3267803;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;122,71804053823
3267803;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;122,71804053823
3267803;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;122,71804053823
3267804;1;1;2;2;54; ;2; ; ;1;2; ; ;1; ;08;100,765181068346
3267804;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;100,765181068346
3267804;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;100,765181068346
3267805;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;159,365711984199
3267805;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;159,365711984199
3267805;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;159,365711984199
3267806;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;08;129,634255478332
3267806;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;08;129,634255478332
3267806;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;129,634255478332
3267806;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;129,634255478332
3267807;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;155,445448250107
3267807;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;155,445448250107
3267807;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;155,445448250107
3267807;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;155,445448250107
3267808;1;1;2;2;17; ;3;17; ;1;2; ; ;1; ;08;140,309588428077
3267809;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;181,187372834679
3267809;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;08;181,187372834679
3267809;1;3;2;1; ; ;2; ; ;1;4; ;11; ;1;08;181,187372834679
3267812;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;157,391683700442
3267812;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;157,391683700442
3267812;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;157,391683700442
3267813;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;171,973773670173
3267813;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;171,973773670173
3267813;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;171,973773670173
3267813;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;171,973773670173
3267814;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;164,105277562314
3267815;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;173,319944979331
3267815;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;173,319944979331
3267815;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;173,319944979331
3267815;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;173,319944979331
3267816;1;1;2;1; ; ;4; ;1; ;4; ;1; ;4;08;164,105277562314
3267817;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;08;164,105277562314
3267818;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;142,786384361349
3267818;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;142,786384361349
3267818;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;142,786384361349
3267820;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;140,309588428077
3267821;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;165,649922501376
3267821;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;165,649922501376
3267821;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;165,649922501376
3267821;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;165,649922501376
3267822;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;180,033538841204
3267822;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;180,033538841204
3267824;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;156,045512391284
3267824;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;156,045512391284
3267824;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;156,045512391284
3267825;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;08;121,298363214062
3267825;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;121,298363214062
3267825;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;121,298363214062
3267825;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;121,298363214062
3267825;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;08;121,298363214062
3267826;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;08;164,105277562314
3267827;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;172,262963130988
3267827;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;172,262963130988
3267827;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;172,262963130988
3267827;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;172,262963130988
3267828;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;152,504673145962
3267828;1;2;2;2;76; ;2; ; ;1;2; ; ;1; ;08;152,504673145962
3267828;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;08;152,504673145962
3267828;1;4;2;2;17; ;2; ; ;1;2; ; ;1; ;08;152,504673145962
3267829;1;1;2;2;63; ;2; ; ;1;2; ; ;1; ;08;157,102494239627
3267829;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;157,102494239627
3267829;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;157,102494239627
3267831;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;140,309588428077
3267832;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;08;135,783601038661
3267832;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;135,783601038661
3267832;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;135,783601038661
3267832;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;135,783601038661
3267832;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;08;135,783601038661
3267834;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;157,391683700442
3267834;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;08;157,391683700442
3267834;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;157,391683700442
3267835;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;08;164,105277562314
3267836;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;156,237849706966
3267836;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;156,237849706966
3267837;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;159,410162226577
3267837;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;159,410162226577
3267837;1;3;2;2;25; ;2; ; ;1;2; ; ;1; ;08;159,410162226577
3267837;1;4;2;2;25; ;2; ; ;1;2; ; ;1; ;08;159,410162226577
3267837;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;08;159,410162226577
3267839;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;165,939111962191
3267839;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;165,939111962191
3267839;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;165,939111962191
3267839;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;165,939111962191
3267840;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;164,785277968715
3267840;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;164,785277968715
3267840;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;164,785277968715
3267841;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;188,191224409878
3267841;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;188,191224409878
3267841;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;188,191224409878
3267841;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;08;188,191224409878
3267841;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;08;188,191224409878
3267842;1;1;2;1; ; ;3;11; ;1;3;11; ;1; ;08;265,623564714326
3267842;1;2;2;2;73; ;3;11; ;1;3;11; ;1; ;08;265,623564714326
3267842;1;3;2;2;73; ;3;11; ;1;3;11; ;1; ;08;265,623564714326
3267842;1;4;2;2;73; ;3;11; ;1;3;11; ;1; ;08;265,623564714326
3267842;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;08;265,623564714326
3267842;1;6;2;1; ; ;3;73; ;1;3;73; ;1; ;08;265,623564714326
3267842;1;7;2;2;25; ;3;11; ;1;3;73; ;1; ;08;265,623564714326
3267843;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;270,604339132207
3267843;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;270,604339132207
3267843;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;270,604339132207
3267844;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;252,91071116072
3267844;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;252,91071116072
3267845;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;257,522109380908
3267845;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;257,522109380908
3267846;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;08;238,414883153762
3267846;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;238,414883153762
3267846;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;238,414883153762
3267846;1;4;2;1; ; ;2; ; ;1;2; ; ;1; ;08;238,414883153762
3267847;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;08;265,992940912019
3267847;1;2;2;2;73; ;3;73; ;2;2; ; ;1; ;08;265,992940912019
3267847;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;08;265,992940912019
3267848;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;08;285,007716020873
3267849;1;1;2;2;41; ;3;11; ;1;3;18; ;1; ;08;215,843566318834
3267849;1;2;2;2;11; ;3;11; ;1;3;18; ;1; ;08;215,843566318834
3267849;1;3;2;2;11; ;3;11; ;1;3;18; ;1; ;08;215,843566318834
3267849;1;4;2;2;11; ;3;11; ;1;3;18; ;1; ;08;215,843566318834
3267849;1;5;2;2;11; ;1; ; ; ;3;18; ;1; ;08;215,843566318834
3267850;1;1;2;1; ; ;3;11; ;1;2; ; ;1; ;08;247,505491363209
3267850;1;2;2;1; ; ;3;11; ;1;2; ; ;1; ;08;247,505491363209
3267851;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;08;210,929276513797
3267851;1;2;2;2;73; ;2; ; ;1;2; ; ;1; ;08;210,929276513797
3267851;1;3;2;2;11; ;2; ; ;1;2; ; ;1; ;08;210,929276513797
3267851;1;4;2;2;11; ;2; ; ;1;2; ; ;1; ;08;210,929276513797
3267851;1;5;2;2;11; ;2; ; ;1;2; ; ;1; ;08;210,929276513797
3267852;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;247,505491363209
3267852;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;247,505491363209
3267853;1;1;2;2;52; ;3;76; ;1;3;68; ;1; ;08;285,007716020873
3267854;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;272,227526568672
3267854;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;272,227526568672
3267854;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;08;272,227526568672
3267854;2;1;2;2;25; ;2; ; ;1;2; ; ;1; ;08;272,227526568672
3267854;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;272,227526568672
3267854;2;3;1; ; ; ; ; ; ; ; ; ; ; ; ;08;272,227526568672
3267854;3;1;1; ; ; ; ; ; ; ; ; ; ; ; ;08;272,227526568672
3267854;3;2;1; ; ; ; ; ; ; ; ; ; ; ; ;08;272,227526568672
3267855;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;08;230,036502740943
3267855;1;2;2;2;73; ;2; ; ;1;2; ; ;1; ;08;230,036502740943
3267855;1;3;2;2;73; ;2; ; ;1;2; ; ;1; ;08;230,036502740943
3267856;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;08;260,587721114508
