directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3353663;1;1;2;2;52; ;3;52; ;1;2; ; ;1; ;12;196,242323131318
3353664;1;1;2;2;76; ;3;19; ;1;2; ; ;1; ;12;196,242323131318
3353665;1;1;2;2;52; ;3;52; ;2;3;52; ;2;2;12;196,242323131318
3353666;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;188,113314834208
3353666;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;188,113314834208
3353667;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;136,584023490997
3353667;1;2;2;1; ; ;3;17; ;2;2; ; ;1; ;12;136,584023490997
3353669;1;1;2;2;66; ;2; ; ;1;2; ; ;1; ;12;136,113791607938
3353669;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;136,113791607938
3353669;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;136,113791607938
3353670;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;12;162,5623538455
3353670;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;12;162,5623538455
3353670;1;3;2;2;17; ;2; ; ;1;2; ; ;1; ;12;162,5623538455
3353671;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;109,099971120771
3353671;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;109,099971120771
3353671;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;109,099971120771
3353671;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;12;109,099971120771
3353672;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;171,471356861394
3353673;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;179,204311818314
3353673;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;179,204311818314
3353673;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;179,204311818314
3353673;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;12;179,204311818314
3353674;1;1;2;2;52; ;3;52; ;1;3;52; ;1; ;12;196,242323131318
3353675;1;1;2;2;70; ;3;70; ;1;2; ; ;1; ;12;179,392382927896
3353676;1;1;2;2;52; ;3;52; ;1;3;52; ;1; ;12;179,392382927896
3353678;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;184,225406097115
3353678;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;184,225406097115
3353679;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;209,776367085823
3353681;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;12;153,225981463812
3353681;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;153,225981463812
3353681;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;12;153,225981463812
3353682;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;229,269721521125
3353682;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;229,269721521125
3353682;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;229,269721521125
3353683;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;209,776367085823
3353684;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;171,471356861394
3353685;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;12;166,450262582593
3353685;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;12;166,450262582593
3353685;1;3;2;2;17; ;2; ; ;1;2; ; ;1; ;12;166,450262582593
3353688;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;200,908407405107
3353688;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;200,908407405107
3353688;1;3;2;1; ; ;3;05; ;1;3;05; ;1; ;12;200,908407405107
3353688;1;4;2;2;05; ;1; ; ; ;3;05; ;1; ;12;200,908407405107
3353689;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;221,818212207607
3353689;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;221,818212207607
3353689;1;3;2;2;66; ;3;66; ;2;3;66; ;2;3;12;221,818212207607
3353690;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;188,618125579696
3353690;1;2;2;2;17; ;3;17; ;2;2; ; ;1; ;12;188,618125579696
3353690;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;188,618125579696
3353691;1;1;2;1; ; ;3;66; ;1;2; ; ;1; ;12;240,203201406851
3353692;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;12;224,170837524219
3353692;1;2;2;2;17; ;3;17; ;2;2; ; ;1; ;12;224,170837524219
3353695;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;12;156,547137020624
3353695;1;2;2;1; ; ;3;17; ;1;3;17; ;1; ;12;156,547137020624
3353696;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;12;169,361720105631
3353696;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;12;169,361720105631
3353696;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;169,361720105631
3353696;3;1;2;2;52; ;3;52; ;1;2; ; ;1; ;12;169,361720105631
3353697;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;184,017552455661
3353697;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;184,017552455661
3353698;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;12;248,364994621487
3353698;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;248,364994621487
3353702;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;12;95,1823514737776
3353702;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;12;95,1823514737776
3353703;1;1;2;2;52; ;2; ; ;1;2; ; ;1; ;12;89,2141533524249
3353703;1;2;2;2;11; ;2; ; ;1;2; ; ;1; ;12;89,2141533524249
3353703;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;89,2141533524249
3353704;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;12;116,901100493286
3353704;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;116,901100493286
3353704;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;116,901100493286
3353705;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;12;95,6796971933096
3353705;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;95,6796971933096
3353705;1;3;2;2;15; ;2; ; ;1;2; ; ;1; ;12;95,6796971933096
3353706;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;128,342466999272
3353706;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;128,342466999272
3353706;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;128,342466999272
3353706;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;12;128,342466999272
3353707;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;12;88,3584484888919
3353707;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;12;88,3584484888919
3353707;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;88,3584484888919
3353707;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;12;88,3584484888919
3353708;1;1;2;2;25; ;2; ; ;1;2; ; ;1; ;12;87,6176015062068
3353708;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;87,6176015062068
3353708;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;87,6176015062068
3353709;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;12;95,6796971933096
3353709;1;2;2;1; ; ;3;15; ;1;2; ; ;1; ;12;95,6796971933096
3353709;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;95,6796971933096
3353710;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;12;116,901100493286
3353710;1;2;2;2;11; ;2; ; ;1;2; ; ;1; ;12;116,901100493286
3353710;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;116,901100493286
3353711;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;12;91,755680647193
3353711;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;12;91,755680647193
3353711;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;12;91,755680647193
3353711;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;12;91,755680647193
