DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3117897;1;1;2;6; ; ; ;01;247,787473924792
3117900;1;1;2;6; ; ; ;01;234,780400146907
3117900;1;2;2;6; ; ; ;01;234,780400146907
3117901;1;1;2;1;1; ; ;01;279,448163873517
3117901;1;2;1; ; ; ; ;01;279,448163873517
3117901;1;3;1; ; ; ; ;01;279,448163873517
3117901;1;4;2;6; ; ; ;01;279,448163873517
3117902;1;1;1; ; ; ; ;01;228,129050197745
3117902;1;2;1; ; ; ; ;01;228,129050197745
3117903;1;1;2;6; ; ; ;01;263,696449134841
3117903;1;2;1; ; ; ; ;01;263,696449134841
3117904;1;1;2;6; ; ; ;01;241,585740593385
3117905;1;1;2;6; ; ; ;01;218,245258735545
3117905;1;2;2;6; ; ; ;01;218,245258735545
3117905;1;3;2;6; ; ; ;01;218,245258735545
3117905;1;4;1; ; ; ; ;01;218,245258735545
3117906;1;1;1; ; ; ; ;01;179,046723129167
3117906;1;2;1; ; ; ; ;01;179,046723129167
3117906;1;3;1; ; ; ; ;01;179,046723129167
3117906;1;4;1; ; ; ; ;01;179,046723129167
3117906;1;6;1; ; ; ; ;01;179,046723129167
3117907;1;1;2;6; ; ; ;01;195,418721392848
3117907;1;2;1; ; ; ; ;01;195,418721392848
3117908;1;1;1; ; ; ; ;01;214,091907188192
3117908;1;2;1; ; ; ; ;01;214,091907188192
3117908;1;3;1; ; ; ; ;01;214,091907188192
3117908;1;4;1; ; ; ; ;01;214,091907188192
3117908;1;5;1; ; ; ; ;01;214,091907188192
3117908;1;6;1; ; ; ; ;01;214,091907188192
3117908;1;7;2;1;2;11;1;01;214,091907188192
3117908;1;8;2;1;2;11;1;01;214,091907188192
3117908;1;9;2;1;2;11;1;01;214,091907188192
3117908;1;10;2;1;2;11;1;01;214,091907188192
3117908;1;11;2;1;2;11;1;01;214,091907188192
3117909;1;1;1; ; ; ; ;01;155,330053361772
3117909;1;2;1; ; ; ; ;01;155,330053361772
3117909;1;3;1; ; ; ; ;01;155,330053361772
