DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3139038;1;1;2;6; ; ; ;02;165,258435374743
3139038;1;2;2;6; ; ; ;02;165,258435374743
3139039;1;1;2;5;2;11;1;02;148,688881088212
3139041;1;1;2;1;2;76;1;02;174,833006380057
3139041;1;2;2;1;2;76;1;02;174,833006380057
3139041;1;3;2;1;2;76;1;02;174,833006380057
3139042;1;1;1; ; ; ; ;02;208,572959590201
3139042;1;2;1; ; ; ; ;02;208,572959590201
3139042;1;3;1; ; ; ; ;02;208,572959590201
3139042;1;4;1; ; ; ; ;02;208,572959590201
3139043;1;1;1; ; ; ; ;02;177,923283839672
3139044;1;1;1; ; ; ; ;02;195,850763222137
3139045;1;1;2;6; ; ; ;02;182,428834298356
3139045;1;2;1; ; ; ; ;02;182,428834298356
3139047;1;1;2;6; ; ; ;02;168,406060737493
3139047;1;2;1; ; ; ; ;02;168,406060737493
3139047;1;3;1; ; ; ; ;02;168,406060737493
3139047;1;4;2;1;2;52;1;02;168,406060737493
3139048;1;1;1; ; ; ; ;02;198,998388584887
3139048;1;2;2;6; ; ; ;02;198,998388584887
3139048;1;3;2;3;2;76;1;02;198,998388584887
3139050;1;1;1; ; ; ; ;02;177,923283839672
3139051;1;1;1; ; ; ; ;02;199,034978654227
3139051;1;2;1; ; ; ; ;02;199,034978654227
3139051;1;3;1; ; ; ; ;02;199,034978654227
3139052;1;1;1; ; ; ; ;02;195,850763222137
3139053;1;1;1; ; ; ; ;02;147,330955992278
3139053;1;2;1; ; ; ; ;02;147,330955992278
3139054;1;1;1; ; ; ; ;02;168,96953082544
3139054;1;2;1; ; ; ; ;02;168,96953082544
3139054;1;3;1; ; ; ; ;02;168,96953082544
3139057;1;1;1; ; ; ; ;02;205,775468183222
3139057;1;2;1; ; ; ; ;02;205,775468183222
3139057;1;3;1; ; ; ; ;02;205,775468183222
3139057;1;4;1; ; ; ; ;02;205,775468183222
3139058;1;1;2;6; ; ; ;02;217,489338055298
3139058;1;2;2;6; ; ; ;02;217,489338055298
3139059;1;1;1; ; ; ; ;02;203,902153793779
3139059;1;2;1; ; ; ; ;02;203,902153793779
3139062;1;1;2;6; ; ; ;02;195,850763222137
3139063;1;1;1; ; ; ; ;02;213,440134729753
3139063;1;2;2;6; ; ; ;02;213,440134729753
3139063;1;3;2;6; ; ; ;02;213,440134729753
3139064;1;1;1; ; ; ; ;02;208,407704252463
3139064;1;2;1; ; ; ; ;02;208,407704252463
3139065;1;1;1; ; ; ; ;02;221,994888513982
3139065;1;2;1; ; ; ; ;02;221,994888513982
3139065;1;3;1; ; ; ; ;02;221,994888513982
3139066;1;1;1; ; ; ; ;02;182,428834298356
3139066;1;2;1; ; ; ; ;02;182,428834298356
3139067;1;1;1; ; ; ; ;02;182,428834298356
3139067;1;2;2;6; ; ; ;02;182,428834298356
3139069;1;1;2;6; ; ; ;02;124,391019486523
3139069;1;2;1; ; ; ; ;02;124,391019486523
3139069;1;4;1; ; ; ; ;02;124,391019486523
3139069;1;5;1; ; ; ; ;02;124,391019486523
3139069;1;6;2;1;2;17;2;02;124,391019486523
3139070;1;1;1; ; ; ; ;02;106,57820725555
3139070;2;1;1; ; ; ; ;02;106,57820725555
3139071;1;1;2;6; ; ; ;02;68,1958161026142
3139071;1;2;1; ; ; ; ;02;68,1958161026142
3139071;1;3;1; ; ; ; ;02;68,1958161026142
3139072;1;1;1; ; ; ; ;02;74,9745194614678
3139072;1;2;1; ; ; ; ;02;74,9745194614678
3139072;1;3;1; ; ; ; ;02;74,9745194614678
3139073;1;1;2;6; ; ; ;02;44,3833676622048
3139073;1;2;2;6; ; ; ;02;44,3833676622048
3139073;1;3;1; ; ; ; ;02;44,3833676622048
3139073;1;4;1; ; ; ; ;02;44,3833676622048
3139073;1;5;1; ; ; ; ;02;44,3833676622048
3139073;1;6;1; ; ; ; ;02;44,3833676622048
3139073;1;7;1; ; ; ; ;02;44,3833676622048
3139074;1;1;1; ; ; ; ;02;130,004307668028
3139074;1;2;1; ; ; ; ;02;130,004307668028
3139075;1;1;1; ; ; ; ;02;145,459115057423
3139076;1;1;1; ; ; ; ;02;58,7443718562034
3139076;1;2;1; ; ; ; ;02;58,7443718562034
3139076;1;3;1; ; ; ; ;02;58,7443718562034
3139076;1;4;2;6; ; ; ;02;58,7443718562034
3139076;1;5;2;2;2;19;1;02;58,7443718562034
3139076;1;7;1; ; ; ; ;02;58,7443718562034
3139076;1;8;1; ; ; ; ;02;58,7443718562034
3139077;1;1;1; ; ; ; ;02;71,0778409557148
3139077;1;2;1; ; ; ; ;02;71,0778409557148
3139078;1;1;1; ; ; ; ;02;70,2641953756996
3139079;1;1;1; ; ; ; ;02;71,0778409557148
3139079;1;2;1; ; ; ; ;02;71,0778409557148
3139080;1;1;1; ; ; ; ;02;65,9945151100297
3139080;1;2;1; ; ; ; ;02;65,9945151100297
3139080;1;3;1; ; ; ; ;02;65,9945151100297
3139080;1;4;1; ; ; ; ;02;65,9945151100297
3139081;1;1;1; ; ; ; ;02;114,584800645056
3139081;1;2;1; ; ; ; ;02;114,584800645056
3139081;1;3;1; ; ; ; ;02;114,584800645056
3139081;1;4;1; ; ; ; ;02;114,584800645056
3139082;1;1;1; ; ; ; ;02;91,7685010495705
3139082;1;2;1; ; ; ; ;02;91,7685010495705
3139083;1;1;1; ; ; ; ;02;70,2641953756996
3139084;1;1;2;3;2;15;1;02;90,1499889042225
3139084;1;2;2;4;2;15;1;02;90,1499889042225
3139084;1;3;2;3;2;15;1;02;90,1499889042225
3139085;1;1;1; ; ; ; ;02;83,4423443489897
3139085;1;2;1; ; ; ; ;02;83,4423443489897
3139085;1;3;1; ; ; ; ;02;83,4423443489897
3139085;1;4;1; ; ; ; ;02;83,4423443489897
3139086;1;1;1; ; ; ; ;02;99,1299932556605
3139086;1;2;1; ; ; ; ;02;99,1299932556605
3139087;1;1;1; ; ; ; ;02;62,0135644059768
3139087;1;2;1; ; ; ; ;02;62,0135644059768
3139088;1;1;1; ; ; ; ;02;76,4464470723371
3139088;1;2;1; ; ; ; ;02;76,4464470723371
3139090;1;1;1; ; ; ; ;02;110,60268149255
3139091;1;1;1; ; ; ; ;02;108,217690023516
3139092;1;1;2;6; ; ; ;02;78,196179778202
3139092;1;2;1; ; ; ; ;02;78,196179778202
3139093;1;1;1; ; ; ; ;02;188,963186227034
3139093;1;2;1; ; ; ; ;02;188,963186227034
3139094;1;1;2;4;2;11;1;02;219,182540559594
3139095;1;1;1; ; ; ; ;02;183,338959761975
3139095;1;2;1; ; ; ; ;02;183,338959761975
3139096;1;1;1; ; ; ; ;02;300,049311941849
3139096;1;2;1; ; ; ; ;02;300,049311941849
3139096;1;3;2;6; ; ; ;02;300,049311941849
3139096;1;4;1; ; ; ; ;02;300,049311941849
3139097;1;1;1; ; ; ; ;02;238,727337030843
3139099;1;1;2;6; ; ; ;02;182,850707082959
3139100;1;1;2;6; ; ; ;02;169,128371351216
3139100;1;2;2;6; ; ; ;02;169,128371351216
3139100;1;3;2;6; ; ; ;02;169,128371351216
3139100;2;1;2;6; ; ; ;02;169,128371351216
3139100;2;2;1; ; ; ; ;02;169,128371351216
3139100;2;3;1; ; ; ; ;02;169,128371351216
3139100;2;4;1; ; ; ; ;02;169,128371351216
3139100;2;5;1; ; ; ; ;02;169,128371351216
3139101;1;1;2;1;2;73;1;02;219,182540559594
3139103;1;1;1; ; ; ; ;02;319,594108413098
3139103;1;2;1; ; ; ; ;02;319,594108413098
3139103;1;3;1; ; ; ; ;02;319,594108413098
3139103;1;4;1; ; ; ; ;02;319,594108413098
3139104;1;1;2;1;2;25;1;02;182,99593993876
3139104;1;2;2;1;2;25;1;02;182,99593993876
3139104;1;3;2;1;2;25;1;02;182,99593993876
3139104;1;4;2;1;2;25;1;02;182,99593993876
3139105;1;1;2;6; ; ; ;02;218,063998942617
3139105;1;2;2;6; ; ; ;02;218,063998942617
3139105;1;3;2;6; ; ; ;02;218,063998942617
3139106;1;1;2;6; ; ; ;02;153,022935434736
3139106;1;2;1; ; ; ; ;02;153,022935434736
3139106;1;3;1; ; ; ; ;02;153,022935434736
3139107;1;1;2;6; ; ; ;02;189,71178123227
3139107;1;2;2;1;2;11;1;02;189,71178123227
3139108;1;1;2;6; ; ; ;02;153,379947755635
3139108;1;2;2;6; ; ; ;02;153,379947755635
3139109;1;1;2;6; ; ; ;02;182,850707082959
3139110;1;1;1; ; ; ; ;02;189,71178123227
3139110;1;2;2;6; ; ; ;02;189,71178123227
3139111;1;1;2;5;2;05;1;02;219,368042968886
3139113;1;1;1; ; ; ; ;02;238,198814798336
3139113;1;2;1; ; ; ; ;02;238,198814798336
3139113;1;3;1; ; ; ; ;02;238,198814798336
3139114;1;1;2;6; ; ; ;02;182,850707082959
3139115;1;1;2;6; ; ; ;02;202,540736410009
3139115;1;2;1; ; ; ; ;02;202,540736410009
3139115;1;3;1; ; ; ; ;02;202,540736410009
