DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3159980;1;1;1; ; ; ; ;03;81,8250639928745
3159980;1;2;1; ; ; ; ;03;81,8250639928745
3159980;1;5;1; ; ; ; ;03;81,8250639928745
3159980;1;6;1; ; ; ; ;03;81,8250639928745
3159981;1;1;2;6; ; ; ;03;81,7744648204678
3159981;1;2;2;6; ; ; ;03;81,7744648204678
3159981;1;3;2;6; ; ; ;03;81,7744648204678
3159981;1;4;1; ; ; ; ;03;81,7744648204678
3159982;1;1;1; ; ; ; ;03;109,422992443957
3159982;1;2;1; ; ; ; ;03;109,422992443957
3159983;1;1;2;2;2;15;1;03;41,9927042801558
3159983;1;2;2;2;2;15;1;03;41,9927042801558
3159983;1;3;2;2;2;15;1;03;41,9927042801558
3159983;1;4;2;2;2;15;1;03;41,9927042801558
3159984;1;1;1; ; ; ; ;03;41,9927042801558
3159984;1;2;1; ; ; ; ;03;41,9927042801558
3159984;1;4;1; ; ; ; ;03;41,9927042801558
3159985;1;1;2;2;2;11;1;03;98,1398641512188
3159985;1;2;2;2;2;11;1;03;98,1398641512188
3159986;1;1;1; ; ; ; ;03;41,9927042801558
3159986;1;2;2;6; ; ; ;03;41,9927042801558
3159986;1;3;1; ; ; ; ;03;41,9927042801558
3159986;1;5;1; ; ; ; ;03;41,9927042801558
3159986;1;6;1; ; ; ; ;03;41,9927042801558
3159986;1;7;1; ; ; ; ;03;41,9927042801558
3159987;1;1;1; ; ; ; ;03;69,7653024742001
3159987;1;2;1; ; ; ; ;03;69,7653024742001
3159988;1;1;2;6; ; ; ;03;94,8745205773596
3159989;1;1;1; ; ; ; ;03;73,3424864842473
3159989;1;2;1; ; ; ; ;03;73,3424864842473
3159989;1;3;1; ; ; ; ;03;73,3424864842473
3159990;1;1;1; ; ; ; ;03;146,446724194019
3159990;1;2;1; ; ; ; ;03;146,446724194019
3159990;1;3;1; ; ; ; ;03;146,446724194019
3159990;1;4;1; ; ; ; ;03;146,446724194019
3159990;1;5;1; ; ; ; ;03;146,446724194019
3159991;1;1;2;6; ; ; ;03;152,574296874639
3159991;1;2;2;6; ; ; ;03;152,574296874639
3159992;1;1;2;6; ; ; ;03;141,826493966492
3159992;1;2;2;6; ; ; ;03;141,826493966492
3159992;1;3;1; ; ; ; ;03;141,826493966492
3159992;1;4;1; ; ; ; ;03;141,826493966492
3159992;1;5;1; ; ; ; ;03;141,826493966492
3159993;1;1;1; ; ; ; ;03;186,777013733421
3159993;1;2;1; ; ; ; ;03;186,777013733421
3159993;1;3;1; ; ; ; ;03;186,777013733421
3159993;1;4;1; ; ; ; ;03;186,777013733421
3159994;1;1;2;6; ; ; ;03;147,551466193632
3159994;1;2;1; ; ; ; ;03;147,551466193632
3159994;1;3;1; ; ; ; ;03;147,551466193632
3159994;1;6;1; ; ; ; ;03;147,551466193632
3159995;1;1;2;3;2;47;1;03;224,570957115054
3159995;1;2;2;3;2;47;1;03;224,570957115054
3159996;1;1;2;6; ; ; ;03;97,067479963495
3159996;1;2;2;6; ; ; ;03;97,067479963495
3159996;1;3;1; ; ; ; ;03;97,067479963495
3159996;1;4;1; ; ; ; ;03;97,067479963495
3159996;1;5;2;3;2;15;1;03;97,067479963495
3159996;1;6;2;3;2;15;1;03;97,067479963495
3159997;1;1;2;3;2;76;1;03;208,307943643933
3159997;1;2;2;3;2;76;1;03;208,307943643933
3159997;1;3;2;3;2;76;1;03;208,307943643933
3159998;1;1;2;6; ; ; ;03;192,044930172811
3159998;1;2;1; ; ; ; ;03;192,044930172811
3159998;1;3;1; ; ; ; ;03;192,044930172811
3159998;1;4;1; ; ; ; ;03;192,044930172811
3159999;1;1;1; ; ; ; ;03;118,188972436619
3159999;1;2;1; ; ; ; ;03;118,188972436619
3159999;1;3;1; ; ; ; ;03;118,188972436619
3160000;1;1;1; ; ; ; ;03;168,627548681595
3160000;1;2;1; ; ; ; ;03;168,627548681595
3160000;1;3;1; ; ; ; ;03;168,627548681595
3160000;1;4;1; ; ; ; ;03;168,627548681595
3160003;1;1;1; ; ; ; ;03;147,295531904042
3160003;1;2;1; ; ; ; ;03;147,295531904042
3160003;1;3;2;2;2;76;1;03;147,295531904042
3160004;1;1;2;6; ; ; ;03;164,801965396742
3160004;1;2;2;3;2;17;1;03;164,801965396742
3160005;1;1;1; ; ; ; ;03;149,244262189979
3160005;1;2;1; ; ; ; ;03;149,244262189979
3160005;1;3;2;2;1; ; ;03;149,244262189979
3160005;1;4;1; ; ; ; ;03;149,244262189979
3160006;1;1;1; ; ; ; ;03;136,583934159035
3160006;1;2;1; ; ; ; ;03;136,583934159035
3160007;1;1;1; ; ; ; ;03;205,84506111649
3160007;1;2;1; ; ; ; ;03;205,84506111649
3160007;1;3;1; ; ; ; ;03;205,84506111649
3160008;1;1;2;6; ; ; ;03;236,011822640133
3160008;1;2;1; ; ; ; ;03;236,011822640133
3160008;1;3;1; ; ; ; ;03;236,011822640133
3160008;1;4;1; ; ; ; ;03;236,011822640133
3160010;1;1;2;4;2;41;1;03;168,647154769482
3160010;1;2;2;4;2;41;1;03;168,647154769482
3160010;1;3;2;4;2;41;1;03;168,647154769482
3160010;1;4;2;4;2;41;1;03;168,647154769482
3160011;1;1;1; ; ; ; ;03;236,011822640133
3160011;1;2;2;6; ; ; ;03;236,011822640133
3160011;1;3;1; ; ; ; ;03;236,011822640133
3160011;1;4;1; ; ; ; ;03;236,011822640133
3160014;1;1;1; ; ; ; ;03;136,583934159035
3160014;1;2;1; ; ; ; ;03;136,583934159035
3160015;1;1;2;4;2;05;1;03;232,454244273465
3160015;1;2;2;4;2;05;1;03;232,454244273465
3160015;1;3;2;4;2;05;1;03;232,454244273465
3160015;1;4;2;4;2;05;1;03;232,454244273465
3160016;1;1;2;5;1; ; ;03;153,240120983208
3160016;1;2;2;5;1; ; ;03;153,240120983208
3160017;1;1;2;6; ; ; ;03;164,814292684983
3160017;1;2;1; ; ; ; ;03;164,814292684983
3160017;1;3;1; ; ; ; ;03;164,814292684983
3160017;1;4;1; ; ; ; ;03;164,814292684983
3160018;1;1;1; ; ; ; ;03;182,124249015748
3160018;1;2;1; ; ; ; ;03;182,124249015748
3160019;1;1;1; ; ; ; ;03;191,135864835887
3160019;1;2;1; ; ; ; ;03;191,135864835887
3160020;1;1;1; ; ; ; ;03;147,982560691672
3160020;1;2;2;6; ; ; ;03;147,982560691672
3160021;1;1;1; ; ; ; ;03;168,450677607546
3160021;1;2;1; ; ; ; ;03;168,450677607546
