directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3202771;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;05;99,0505311729287
3202771;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;05;99,0505311729287
3202771;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;05;99,0505311729287
3202772;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;05;80,017995508227
3202772;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;80,017995508227
3202773;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;05;79,792879768443
3202773;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;79,792879768443
3202774;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;05;76,4111228764791
3202775;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;05;76,4111228764791
3202777;1;1;2;2;11; ;2; ; ;1;2; ; ;1; ;05;116,390845002584
3202777;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;05;116,390845002584
3202777;1;3;2;2;15; ;2; ; ;1;2; ; ;1; ;05;116,390845002584
3202777;1;4;2;2;11; ;2; ; ;1;2; ; ;1; ;05;116,390845002584
3202778;1;1;2;2;25; ;2; ; ;1;2; ; ;1; ;05;69,1739184059025
3202778;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;69,1739184059025
3202779;1;1;2;2;15; ;3;15; ;2;2; ; ;1; ;05;61,0625994591345
3202779;1;2;2;2;15; ;3;15; ;2;2; ; ;1; ;05;61,0625994591345
3202781;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;05;69,3990341456865
3202781;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;05;69,3990341456865
3202782;1;1;2;2;66; ;2; ; ;1;2; ; ;1; ;05;175,472368843876
3202782;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;175,472368843876
3202783;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;05;134,303554342381
3202783;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;134,303554342381
3202783;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;05;134,303554342381
3202784;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;05;131,629030530894
3202784;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;131,629030530894
3202784;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;05;131,629030530894
3202784;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;05;131,629030530894
3202784;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;05;131,629030530894
3202785;1;1;2;1; ; ;3;76; ;1;2; ; ;1; ;05;180,301732023875
3202785;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;05;180,301732023875
3202788;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;05;175,502117248355
3202789;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;05;147,624727725834
3202789;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;05;147,624727725834
3202789;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;05;147,624727725834
3202789;1;4;2;1; ; ;2; ; ;1;2; ; ;1; ;05;147,624727725834
3202790;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;05;139,18358397234
3202790;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;139,18358397234
3202790;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;05;139,18358397234
3202790;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;05;139,18358397234
3202791;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;05;145,45189702255
3202792;1;1;2;2;66; ;2; ; ;1;2; ; ;1; ;05;172,765169917201
3202792;1;2;2;2;63; ;2; ; ;1;2; ; ;1; ;05;172,765169917201
3202792;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;05;172,765169917201
3202792;1;4;2;2;17; ;2; ; ;1;2; ; ;1; ;05;172,765169917201
3202794;1;1;2;1; ; ;3;76; ;1;2; ; ;1; ;05;134,303554342381
3202794;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;134,303554342381
3202794;1;3;2;1; ; ;3;05; ;1;2; ; ;1; ;05;134,303554342381
3202796;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;05;169,643325382202
3202797;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;05;154,812306203279
3202797;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;154,812306203279
3202798;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;05;176,358959155924
3202798;1;2;2;2;73; ;2; ; ;1;2; ; ;1; ;05;176,358959155924
3202798;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;05;176,358959155924
3202799;1;1;2;2;19; ;2; ; ;1;2; ; ;1; ;05;166,998549975194
3202799;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;05;166,998549975194
3202800;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;05;151,218516964556
3202800;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;05;151,218516964556
3202800;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;05;151,218516964556
3202801;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;05;166,998549975194
3202801;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;05;166,998549975194
