directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3396123;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;02;161,189845658082
3396123;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;02;161,189845658082
3396124;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;120,676496238847
3396124;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;120,676496238847
3396124;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;120,676496238847
3396124;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;02;120,676496238847
3396124;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;02;120,676496238847
3396125;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;198,171424967808
3396125;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;02;198,171424967808
3396125;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;198,171424967808
3396126;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;162,848115727186
3396126;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;162,848115727186
3396126;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;162,848115727186
3396126;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;02;162,848115727186
3396127;1;1;2;2;05; ;2; ; ;1;2; ; ;1; ;02;172,213393687898
3396127;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;172,213393687898
3396127;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;172,213393687898
3396128;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;150,566121382507
3396129;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;161,189845658082
3396129;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;161,189845658082
3396130;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;138,629015407927
3396130;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;138,629015407927
3396131;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;146,207943833559
3396131;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;146,207943833559
3396131;1;3;2;2;11; ;2; ; ;1;2; ; ;1; ;02;146,207943833559
3396131;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;02;146,207943833559
3396132;1;1;2;1; ; ;3;66; ;1;2; ; ;1; ;02;136,856222490665
3396133;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;145,320193707084
3396133;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;145,320193707084
3396133;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;145,320193707084
3396133;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;02;145,320193707084
3396133;1;5;2;2;73; ;2; ; ;1;2; ; ;1; ;02;145,320193707084
3396133;1;6;2;2;73; ;3;73; ;2;3;73; ;2;3;02;145,320193707084
3396134;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;02;135,310912462466
3396134;1;2;2;2;73; ;2; ; ;1;2; ; ;1; ;02;135,310912462466
3396134;1;3;2;2;73; ;2; ; ;1;2; ; ;1; ;02;135,310912462466
3396134;1;4;2;2;73; ;3;63; ;1;2; ; ;1; ;02;135,310912462466
3396134;1;5;2;2;17; ;3;63; ;1;2; ; ;1; ;02;135,310912462466
3396134;2;1;2;2;73; ;2; ; ;1;2; ; ;1; ;02;135,310912462466
3396135;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;02;155,573221794271
3396135;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;155,573221794271
3396135;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;155,573221794271
3396136;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;02;147,994218285371
3396136;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;147,994218285371
3396136;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;147,994218285371
3396136;1;4;2;2;73; ;2; ; ;1;2; ; ;1; ;02;147,994218285371
3396136;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;02;147,994218285371
3396136;1;6;2;2;05; ;3;05; ;1;3;05; ;1; ;02;147,994218285371
3396137;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;172,213393687898
3396137;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;02;172,213393687898
3396137;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;172,213393687898
3396139;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;02;159,085027983068
3396139;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;159,085027983068
3396140;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;153,448975809864
3396140;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;153,448975809864
3396142;1;1;2;2;17; ;3;05; ;1;2; ; ;1; ;02;159,396054396556
3396142;1;2;2;1; ; ;3;05; ;1;2; ; ;1; ;02;159,396054396556
3396142;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;02;159,396054396556
3396143;1;1;2;1; ; ;3;63; ;1;2; ; ;1; ;02;150,877147795995
3396143;1;2;2;2;63; ;3;63; ;1;2; ; ;1; ;02;150,877147795995
3396145;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;143,237326489002
3396145;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;143,237326489002
3396145;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;143,237326489002
3396145;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;02;143,237326489002
3396145;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;02;143,237326489002
3396147;1;1;2;2;17; ;3;17; ;1;3;17; ;1; ;02;160,709436095562
3396148;1;1;2;2;63; ;3;05; ;1;3;17; ;1; ;02;136,856222490665
3396150;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;02;136,856222490665
3396151;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;161,189845658082
3396151;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;161,189845658082
3396152;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;171,333160371136
3396152;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;171,333160371136
3396155;1;1;2;2;54; ;3;54; ;2;2; ; ;1; ;02;356,77860184261
3396156;1;1;2;2;68; ;3;68; ;1;2; ; ;1; ;02;147,56566121704
3396156;1;2;2;2;68; ;3;68; ;1;2; ; ;1; ;02;147,56566121704
3396156;1;3;2;2;68; ;3;68; ;1;3;47; ;1; ;02;147,56566121704
3396157;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;02;140,477933832938
3396157;1;2;2;2;68; ;2; ; ;1;2; ; ;1; ;02;140,477933832938
3396157;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;140,477933832938
3396157;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;02;140,477933832938
3396158;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;02;138,007373318353
3396158;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;02;138,007373318353
3396158;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;138,007373318353
3396159;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;02;210,823085209309
3396159;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;02;210,823085209309
3396159;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;02;210,823085209309
3396159;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;02;210,823085209309
3396159;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;02;210,823085209309
