directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3507809;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;113,277908746178
3507809;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;113,277908746178
3507810;1;1;2;2;11; ;3;11; ;1;2; ; ;1; ;07;103,536736570525
3507810;1;2;2;2;11; ;3;11; ;1;2; ; ;1; ;07;103,536736570525
3507811;1;1;2;2;11; ;2; ; ;1;2; ; ;1; ;07;112,021895721288
3507812;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;143,95644769147
3507812;1;2;2;2;13; ;2; ; ;1;2; ; ;1; ;07;143,95644769147
3507812;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;143,95644769147
3507813;1;1;2;2;68; ;2; ; ;1;2; ; ;1; ;07;108,831140898554
3507813;1;2;2;2;68; ;2; ; ;1;2; ; ;1; ;07;108,831140898554
3507814;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;237,740216561229
3507814;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;237,740216561229
3507814;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;237,740216561229
3507814;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;07;237,740216561229
3507815;1;1;2;2;54; ;2; ; ;1;2; ; ;1; ;07;132,85337881339
3507816;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;171,758271836435
3507816;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;171,758271836435
3507816;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;171,758271836435
3507816;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;07;171,758271836435
3507816;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;07;171,758271836435
3507817;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;169,246245786657
3507817;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;169,246245786657
3507817;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;169,246245786657
3507818;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;240,640220267621
3507818;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;240,640220267621
3507818;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;240,640220267621
3507818;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;07;240,640220267621
3507818;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;07;240,640220267621
3507818;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;07;240,640220267621
3507818;1;7;1; ; ; ; ; ; ; ; ; ; ; ; ;07;240,640220267621
3507819;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;07;132,85337881339
3507820;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;263,030014656415
3507820;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;263,030014656415
3507820;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;263,030014656415
3507820;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;07;263,030014656415
3507821;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;142,657063127751
3507821;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;142,657063127751
3507823;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;257,059595257738
3507823;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;257,059595257738
3507823;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;257,059595257738
3507824;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;138,403086343554
3507824;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;138,403086343554
3507824;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;138,403086343554
3507824;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;07;138,403086343554
3507824;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;07;138,403086343554
3507824;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;07;138,403086343554
3507825;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;250,565018413275
3507825;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;250,565018413275
3507825;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;250,565018413275
3507827;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;206,965626119106
3507827;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;206,965626119106
3507827;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;206,965626119106
3507830;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;179,725329754211
3507832;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;250,565018413275
3507832;1;2;2;2;17; ;3;17; ;1;2; ; ;1; ;07;250,565018413275
3507832;1;3;2;1; ; ;3;17; ;1;2; ; ;1; ;07;250,565018413275
3507833;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;169,631902551075
3507833;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;169,631902551075
3507833;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;169,631902551075
3507833;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;07;169,631902551075
3507833;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;169,631902551075
3507834;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;07;182,173162135937
3507834;1;2;2;2;73; ;2; ; ;1;2; ; ;1; ;07;182,173162135937
3507834;1;3;2;2;73; ;2; ; ;1;2; ; ;1; ;07;182,173162135937
3507834;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;07;182,173162135937
3507834;1;5;2;2;73; ;2; ; ;1;2; ; ;1; ;07;182,173162135937
3507835;1;1;2;2;05; ;4; ;11; ;2; ; ;1; ;07;142,657063127751
3507835;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;142,657063127751
3507837;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;179,725329754211
3507838;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;07;91,6021653188442
3507838;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;07;91,6021653188442
3507838;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;91,6021653188442
3507839;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;193,771912782029
3507839;1;2;2;2;66; ;2; ; ;1;2; ; ;1; ;07;193,771912782029
3507839;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;193,771912782029
3507841;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;146,533911249857
3507841;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;146,533911249857
3507841;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;146,533911249857
3507841;1;4;2;2;63; ;2; ; ;1;2; ; ;1; ;07;146,533911249857
3507841;1;5;2;2;11; ;2; ; ;1;2; ; ;1; ;07;146,533911249857
3507842;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;179,725329754211
3507843;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;202,168194629905
3507844;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;243,210755495137
3507844;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;243,210755495137
3507844;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;243,210755495137
3507846;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;142,657063127751
3507846;1;2;2;2;63; ;2; ; ;1;2; ; ;1; ;07;142,657063127751
3507847;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;07;76,9639657980488
3507847;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;07;76,9639657980488
3507847;1;3;2;2;47; ;2; ; ;1;2; ; ;1; ;07;76,9639657980488
3507848;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;87,3289914699291
3507848;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;87,3289914699291
3507849;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;94,5658808090565
3507849;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;94,5658808090565
3507849;1;3;2;1; ; ;3;15; ;1;2; ; ;1; ;07;94,5658808090565
3507849;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;07;94,5658808090565
3507849;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;07;94,5658808090565
3507849;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;07;94,5658808090565
3507850;1;1;2;2;25; ;2; ; ;1;2; ; ;1; ;07;86,4362553011097
3507850;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;07;86,4362553011097
3507850;1;3;2;2;11; ;2; ; ;1;2; ; ;1; ;07;86,4362553011097
3507850;1;4;2;2;11; ;2; ; ;1;2; ; ;1; ;07;86,4362553011097
3507851;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;104,33635539667
3507852;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;07;60,2603912185421
3507852;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;60,2603912185421
3507852;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;60,2603912185421
3507852;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;07;60,2603912185421
3507852;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;07;60,2603912185421
3507852;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;07;60,2603912185421
3507853;1;1;2;2;68; ;2; ; ;1;2; ; ;1; ;07;87,7530418264912
3507853;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;07;87,7530418264912
3507853;1;3;2;2;15; ;2; ; ;1;2; ; ;1; ;07;87,7530418264912
3507853;1;4;2;2;15; ;2; ; ;1;2; ; ;1; ;07;87,7530418264912
3507854;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;89,8487709446091
3507854;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;89,8487709446091
3507854;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;89,8487709446091
3507855;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;87,3289914699291
3507855;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;87,3289914699291
3507856;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;114,142851089376
3507856;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;114,142851089376
3507857;1;1;2;2;18; ;3;18; ;2;3;18; ;2;4;07;87,4519779130222
3507857;1;2;2;2;18; ;3;18; ;2;3;18; ;2;4;07;87,4519779130222
3507857;1;3;2;1; ; ;1; ; ; ;3;18; ;2;4;07;87,4519779130222
3507857;1;4;2;2;18; ;3;18; ;2;2; ; ;1; ;07;87,4519779130222
3507858;1;1;2;2;86; ;2; ; ;1;2; ; ;1; ;07;149,860948045992
3507858;1;2;2;2;13; ;2; ; ;1;2; ; ;1; ;07;149,860948045992
3507859;1;1;2;2;18; ;2; ; ;1;2; ; ;1; ;07;116,896257406962
3507859;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;116,896257406962
3507859;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;116,896257406962
3507860;1;1;2;2;05; ;2; ; ;1;2; ; ;1; ;07;54,1452649120366
3507861;1;1;2;2;25; ;2; ; ;1;2; ; ;1; ;07;60,8865414518707
3507861;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;60,8865414518707
3507862;1;1;2;2;18; ;2; ; ;1;3;86; ;1; ;07;75,0435299763299
3507863;1;1;2;2;18; ;3;18; ;1;2; ; ;1; ;07;73,0516971198948
3507863;1;2;2;2;18; ;3;18; ;1;4; ;1; ;2;07;73,0516971198948
3507864;1;1;2;2;25; ;2; ; ;1;2; ; ;1; ;07;54,1452649120366
3507865;1;1;2;2;18; ;3;18; ;1;2; ; ;1; ;07;53,7028895294597
3507865;1;2;2;1; ; ;3;18; ;1;2; ; ;1; ;07;53,7028895294597
3507866;1;1;2;2;18; ;2; ; ;1;2; ; ;1; ;07;63,8127020845222
3507866;1;2;2;2;86; ;2; ; ;1;2; ; ;1; ;07;63,8127020845222
3507866;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;63,8127020845222
3507867;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;07;146,142598034881
3507867;1;2;2;2;41; ;2; ; ;1;2; ; ;1; ;07;146,142598034881
3507867;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;146,142598034881
3507868;1;1;2;2;76; ;2; ; ;1;2; ; ;1; ;07;115,626181360681
3507868;1;2;2;2;86; ;2; ; ;1;2; ; ;1; ;07;115,626181360681
3507868;1;3;2;2;76; ;2; ; ;1;2; ; ;1; ;07;115,626181360681
3507868;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;07;115,626181360681
3507869;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;07;2378,93864734543
3507869;1;2;2;2;73; ;2; ; ;1;2; ; ;1; ;07;2378,93864734543
3507869;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;2378,93864734543
3507869;1;4;2;1; ; ;2; ; ;1;2; ; ;1; ;07;2378,93864734543
3507870;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;07;2387,39393550163
3507870;1;2;2;1; ; ;2; ; ;1;4; ;11; ;1;07;2387,39393550163
3507870;1;3;2;2;76; ;2; ; ;1;2; ; ;1; ;07;2387,39393550163
3507871;1;1;2;2;19; ;2; ; ;1;2; ; ;1; ;07;2750,40138561185
3507871;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;07;2750,40138561185
3507871;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;07;2750,40138561185
3507872;1;1;2;2;25; ;2; ; ;1;2; ; ;1; ;07;2144,67459855297
