directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3486662;1;1;2;2;68; ;3;41; ;1;2; ; ;1; ;06;60,1227529953533
3486662;1;2;2;2;41; ;3;41; ;1;2; ; ;1; ;06;60,1227529953533
3486663;1;1;2;2;41; ;3;18; ;1;2; ; ;1; ;06;36,9305869528185
3486663;1;2;2;1; ; ;3;18; ;2;2; ; ;1; ;06;36,9305869528185
3486663;1;3;2;2;18; ;3;18; ;1;2; ; ;1; ;06;36,9305869528185
3486663;1;4;2;1; ; ;3;18; ;2;2; ; ;1; ;06;36,9305869528185
3486663;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;06;36,9305869528185
3486664;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;25,5893661240038
3486664;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;25,5893661240038
3486664;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;25,5893661240038
3486664;1;4;2;2;18; ;2; ; ;1;2; ; ;1; ;06;25,5893661240038
3486665;1;1;2;2;27; ;2; ; ;1;2; ; ;1; ;06;69,9138233588986
3486665;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;69,9138233588986
3486665;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;69,9138233588986
3486665;1;4;2;2;27; ;2; ; ;1;2; ; ;1; ;06;69,9138233588986
3486666;1;1;2;2;18; ;2; ; ;1;2; ; ;1; ;06;45,9116683744992
3486666;1;2;2;2;18; ;2; ; ;1;2; ; ;1; ;06;45,9116683744992
3486666;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;45,9116683744992
3486667;1;1;2;2;19; ;2; ; ;1;2; ; ;1; ;06;51,1297963615931
3486667;1;2;2;2;41; ;3;41; ;1;3;41; ;1; ;06;51,1297963615931
3486667;1;3;2;2;41; ;1; ; ; ;3;41; ;1; ;06;51,1297963615931
3486668;1;1;2;2;17; ;3;17; ;1;3;17; ;1; ;06;57,4306753560783
3486669;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;55,6967152550011
3486669;1;2;2;1; ; ;2; ; ;1;3;11; ;1; ;06;55,6967152550011
3486670;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;44,8778532535224
3486670;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;44,8778532535224
3486671;1;1;2;2;18; ;2; ; ;1;2; ; ;1; ;06;80,5354990359736
3486671;1;2;2;2;18; ;2; ; ;1;2; ; ;1; ;06;80,5354990359736
3486671;1;3;2;2;18; ;2; ; ;1;2; ; ;1; ;06;80,5354990359736
3486671;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;80,5354990359736
3486672;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;51,0281424568361
3486672;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;51,0281424568361
3486672;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;51,0281424568361
3486672;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;51,0281424568361
3486672;1;5;2;2;41; ;1; ; ; ;2; ; ;1; ;06;51,0281424568361
3486673;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;60,0175119375908
3486673;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;60,0175119375908
3486673;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;60,0175119375908
3486673;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;60,0175119375908
3486674;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;37,8865379170526
3486674;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;37,8865379170526
3486675;1;1;2;2;18; ;2; ; ;1;2; ; ;1; ;06;62,662074269493
3486675;1;2;2;2;86; ;2; ; ;1;2; ; ;1; ;06;62,662074269493
3486675;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;62,662074269493
3486676;1;1;2;2;18; ;2; ; ;1;2; ; ;1; ;06;44,8778532535224
3486676;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;44,8778532535224
3486677;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;06;58,3495656459772
3486677;1;2;2;2;50; ;3;50; ;1;2; ; ;1; ;06;58,3495656459772
3486678;1;1;2;2;18; ;2; ; ;1;2; ; ;1; ;06;44,0895451387086
3486678;1;2;2;2;41; ;2; ; ;1;2; ; ;1; ;06;44,0895451387086
3486678;1;3;2;2;18; ;2; ; ;1;2; ; ;1; ;06;44,0895451387086
3486678;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;44,0895451387086
3486678;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;06;44,0895451387086
3486678;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;06;44,0895451387086
3486679;1;1;2;2;18; ;3;18; ;2;2; ; ;1; ;06;45,9116683744992
3486679;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;45,9116683744992
3486679;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;45,9116683744992
3486680;1;1;2;2;17; ;4; ;3; ;4; ;3; ;1;06;164,333924505585
3486680;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;164,333924505585
3486680;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;164,333924505585
3486681;1;1;2;2;11; ;2; ; ;1;2; ; ;1; ;06;179,844663373758
3486681;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;179,844663373758
3486682;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;269,724444724267
3486682;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;269,724444724267
3486682;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;269,724444724267
3486682;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;269,724444724267
3486682;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;06;269,724444724267
3486683;1;1;2;1; ; ;3;05; ;1;2; ; ;1; ;06;259,593060153229
3486683;1;2;2;2;17; ;3;05; ;1;2; ; ;1; ;06;259,593060153229
3486683;1;3;2;1; ; ;3;05; ;1;1; ; ; ; ;06;259,593060153229
3486683;1;4;2;1; ; ;3;05; ;1;2; ; ;1; ;06;259,593060153229
3486685;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;144,095695591149
3486685;1;2;2;2;17; ;3;17; ;1;2; ; ;1; ;06;144,095695591149
3486686;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;224,388131418514
3486686;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;224,388131418514
3486686;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;224,388131418514
3486687;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;203,956683915134
3486687;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;203,956683915134
3486687;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;203,956683915134
3486687;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;203,956683915134
3486687;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;06;203,956683915134
3486687;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;06;203,956683915134
3486688;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;181,387593177042
3486688;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;06;181,387593177042
3486689;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;06;154,683877057788
3486689;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;154,683877057788
3486690;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;06;171,256208606004
3486692;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;342,512417212009
3486693;1;1;2;2;52; ;2; ; ;1;2; ; ;1; ;06;361,730176459305
3486693;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;361,730176459305
3486693;1;3;2;2;52; ;3;05; ;1;2; ; ;1; ;06;361,730176459305
3486695;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;06;462,824244564959
3486695;1;2;2;1; ; ;3;11; ;1;2; ; ;1; ;06;462,824244564959
3486695;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;462,824244564959
3486695;1;4;2;1; ; ;2; ; ;1;3;11; ;1; ;06;462,824244564959
3486696;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;231,639701877378
3486696;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;231,639701877378
3486696;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;231,639701877378
3486696;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;231,639701877378
3486697;1;1;2;2;17; ;3;17; ;1;2; ; ;1; ;06;366,774639751855
3486698;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;462,824244564959
3486698;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;462,824244564959
3486698;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;462,824244564959
3486698;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;462,824244564959
3486700;1;1;2;2;68; ;2; ; ;1;2; ; ;1; ;06;358,726652501034
3486700;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;358,726652501034
3486701;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;342,512417212009
3486702;1;1;2;2;86; ;3;86; ;1;2; ; ;1; ;06;398,874292953508
3486704;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;358,726652501034
3486704;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;358,726652501034
3486705;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;386,074734647448
3486705;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;386,074734647448
3486706;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;171,574754001169
3486706;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;171,574754001169
3486706;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;171,574754001169
3486706;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;171,574754001169
3486706;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;06;171,574754001169
3486707;1;1;2;2;13; ;2; ; ;1;2; ; ;1; ;06;172,72558318818
3486707;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;172,72558318818
3486707;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;172,72558318818
3486707;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;172,72558318818
3486708;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;06;161,466515077267
3486708;1;2;2;1; ; ;3;23; ;1;2; ; ;1; ;06;161,466515077267
3486708;1;3;2;2;23; ;3;23; ;1;2; ; ;1; ;06;161,466515077267
3486709;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;06;164,325441988788
3486709;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;164,325441988788
3486709;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;164,325441988788
3486709;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;164,325441988788
3486710;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;162,997973266605
3486710;1;2;2;2;13; ;2; ; ;1;2; ; ;1; ;06;162,997973266605
3486711;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;169,580648244614
3486711;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;169,580648244614
3486711;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;169,580648244614
3486712;1;1;2;2;20; ;2; ; ;1;2; ; ;1; ;06;162,997973266605
3486712;1;2;2;2;20; ;2; ; ;1;2; ; ;1; ;06;162,997973266605
3486713;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;136,696252458637
3486713;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;136,696252458637
3486713;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;136,696252458637
3486714;1;1;2;2;08; ;2; ; ;1;2; ; ;1; ;06;172,983262753182
3486714;1;2;2;2;20; ;2; ; ;1;2; ; ;1; ;06;172,983262753182
3486714;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;172,983262753182
3486714;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;172,983262753182
3486715;1;1;2;2;20; ;2; ; ;1;2; ; ;1; ;06;178,388380783434
3486715;1;2;2;2;20; ;2; ; ;1;2; ; ;1; ;06;178,388380783434
3486715;1;3;2;2;20; ;2; ; ;1;2; ; ;1; ;06;178,388380783434
3486716;1;1;2;2;54; ;2; ; ;1;2; ; ;1; ;06;168,997245946989
3486716;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;168,997245946989
3486717;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;130,812820500425
3486717;1;2;2;1; ; ;3;11; ;1;2; ; ;1; ;06;130,812820500425
3486718;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;06;178,388380783434
3486718;1;2;2;2;23; ;2; ; ;1;2; ; ;1; ;06;178,388380783434
3486718;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;178,388380783434
3486719;1;1;2;2;44; ;3;44; ;2;2; ; ;1; ;06;168,715827089648
3486719;1;2;2;2;44; ;3;44; ;2;2; ; ;1; ;06;168,715827089648
3486719;1;3;2;2;44; ;3;44; ;2;2; ; ;1; ;06;168,715827089648
3486719;1;4;2;2;44; ;3;44; ;2;2; ; ;1; ;06;168,715827089648
3486720;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;06;165,510732861801
3486720;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;165,510732861801
3486721;1;1;2;2;44; ;3;44; ;1;2; ; ;1; ;06;165,856900178127
3486721;1;2;2;2;08; ;3;44; ;1;2; ; ;1; ;06;165,856900178127
3486721;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;165,856900178127
3486722;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;06;103,339368579789
3486722;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;06;103,339368579789
3486723;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;06;145,736576456547
3486724;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;182,771031959037
3486724;1;2;2;2;05; ;2; ; ;1;2; ; ;1; ;06;182,771031959037
3486724;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;182,771031959037
3486724;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;182,771031959037
3486724;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;06;182,771031959037
3486724;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;06;182,771031959037
3486724;1;7;1; ; ; ; ; ; ; ; ; ; ; ; ;06;182,771031959037
3486725;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;158,578497953356
3486725;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;158,578497953356
3486725;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;158,578497953356
3486725;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;158,578497953356
3486725;1;5;2;2;20; ;3;20; ;2;3;20; ;1; ;06;158,578497953356
3486726;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;125,684392025625
3486726;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;125,684392025625
3486726;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;125,684392025625
3486727;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;204,633881634935
3486727;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;204,633881634935
3486727;1;3;2;2;68; ;2; ; ;1;2; ; ;1; ;06;204,633881634935
3486728;1;1;2;2;13; ;3;13; ;1;2; ; ;1; ;06;197,170650456324
3486728;1;2;2;1; ; ;3;13; ;1;2; ; ;1; ;06;197,170650456324
3486728;1;3;2;2;13; ;3;13; ;1;2; ; ;1; ;06;197,170650456324
3486728;1;4;2;2;13; ;3;13; ;1;2; ; ;1; ;06;197,170650456324
3486728;1;5;2;1; ; ;3;13; ;1;2; ; ;1; ;06;197,170650456324
3486729;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;06;116,18912501651
3486729;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;116,18912501651
3486729;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;116,18912501651
3486729;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;116,18912501651
3486729;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;06;116,18912501651
3486730;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;06;183,023832111805
3486730;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;183,023832111805
3486730;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;183,023832111805
3486730;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;183,023832111805
3486731;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;201,48203356725
3486731;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;201,48203356725
3486731;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;201,48203356725
3486731;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;201,48203356725
3486731;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;06;201,48203356725
3486731;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;06;201,48203356725
3486731;1;7;1; ; ; ; ; ; ; ; ; ; ; ; ;06;201,48203356725
3486732;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;172,226604374934
3486732;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;06;172,226604374934
3486732;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;172,226604374934
3486733;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;239,093423544861
3486733;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;239,093423544861
3486733;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;239,093423544861
3486733;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;239,093423544861
3486733;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;239,093423544861
3486733;2;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;239,093423544861
3486735;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;74,5939186092542
3486735;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;74,5939186092542
3486735;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;74,5939186092542
3486736;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;182,766373327286
3486736;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;182,766373327286
3486736;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;182,766373327286
3486736;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;182,766373327286
3486737;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;06;168,997245946989
3486737;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;168,997245946989
3486738;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;199,982898767395
3486738;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;199,982898767395
3486738;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;199,982898767395
3486738;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;199,982898767395
3486738;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;06;199,982898767395
3486738;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;06;199,982898767395
3486738;1;7;2;1; ; ;2; ; ;1;2; ; ;1; ;06;199,982898767395
3486738;1;8;2;1; ; ;2; ; ;1;2; ; ;1; ;06;199,982898767395
3486738;1;9;1; ; ; ; ; ; ; ; ; ; ; ; ;06;199,982898767395
3486738;1;10;1; ; ; ; ; ; ; ; ; ; ; ; ;06;199,982898767395
3486739;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;06;101,668618919682
3486739;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;101,668618919682
3486740;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;50,2133938706029
3486740;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;50,2133938706029
3486740;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;50,2133938706029
3486740;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;50,2133938706029
3486741;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;06;197,129713915883
3486741;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;197,129713915883
3486741;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;197,129713915883
3486741;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;197,129713915883
3486742;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;197,943026809881
3486742;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;06;197,943026809881
3486742;1;3;2;2;47; ;2; ; ;1;2; ; ;1; ;06;197,943026809881
3486742;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;197,943026809881
3486742;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;06;197,943026809881
3486743;1;1;2;1; ; ;4; ;3; ;2; ; ;1; ;06;178,645839567953
3486743;1;2;2;1; ; ;4; ;3; ;2; ; ;1; ;06;178,645839567953
3486743;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;178,645839567953
3486744;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;177,753231034693
3486744;1;2;2;2;73; ;2; ; ;1;2; ; ;1; ;06;177,753231034693
3486744;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;06;177,753231034693
3486744;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;06;177,753231034693
3486745;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;96,2555470151834
3486746;1;1;2;2;05; ;2; ; ;1;2; ; ;1; ;06;1108,75488906951
3486746;1;2;2;2;05; ;2; ; ;1;2; ; ;1; ;06;1108,75488906951
3486747;1;1;2;2;05; ;2; ; ;1;2; ; ;1; ;06;1269,01811148298
3486747;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;1269,01811148298
3486748;1;1;2;2;05; ;2; ; ;1;2; ; ;1; ;06;1089,11945645988
3486748;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;1089,11945645988
3486749;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;738,236294442179
3486749;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;738,236294442179
3486751;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;06;1025,51481141831
3486751;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;06;1025,51481141831
