directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3417631;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;162,769803763164
3417631;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;162,769803763164
3417634;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;207,199201985095
3417634;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;207,199201985095
3417634;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;03;207,199201985095
3417634;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;03;207,199201985095
3417635;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;154,171064460392
3417635;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;154,171064460392
3417635;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;03;154,171064460392
3417635;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;03;154,171064460392
3417636;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;159,511480507323
3417636;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;159,511480507323
3417636;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;03;159,511480507323
3417636;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;03;159,511480507323
3417636;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;03;159,511480507323
3417637;1;1;2;3; ;11;2; ; ;1;2; ; ;1; ;03;154,258978282372
3417637;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;03;154,258978282372
3417638;1;1;2;2;11; ;2; ; ;1;2; ; ;1; ;03;146,093077793992
3417639;1;1;2;2;70; ;2; ; ;1;2; ; ;1; ;03;178,297778744035
3417639;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;178,297778744035
3417639;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;03;178,297778744035
3417639;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;03;178,297778744035
3417640;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;167,013842374543
3417640;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;167,013842374543
3417640;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;03;167,013842374543
3417640;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;03;167,013842374543
3417640;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;167,013842374543
3417640;2;3;1; ; ; ; ; ; ; ; ; ; ; ; ;03;167,013842374543
3417641;1;1;2;2;20; ;3;20; ;1;2; ; ;1; ;03;187,849707726718
3417641;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;03;187,849707726718
