directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3572883;1;1;2;2;66; ;2; ; ;1;2; ; ;1; ;10;166,656961164299
3572884;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;10;151,162535543629
3572884;1;2;2;2;47; ;3;44; ;1;2; ; ;1; ;10;151,162535543629
3572885;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;10;109,978167575263
3572885;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;10;109,978167575263
3572885;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;10;109,978167575263
3572886;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;10;159,97658986167
3572886;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;10;159,97658986167
3572887;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;10;204,558575560775
3572887;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;10;204,558575560775
3572887;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;10;204,558575560775
3572888;1;1;2;2;68; ;3;11; ;1;2; ; ;1; ;10;163,635095966254
3572889;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;10;205,094641713893
3572889;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;10;205,094641713893
3572889;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;10;205,094641713893
3572889;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;10;205,094641713893
3572890;1;1;2;2;44; ;2; ; ;1;2; ; ;1; ;10;96,5296557820695
3572890;1;2;2;2;44; ;2; ; ;1;2; ; ;1; ;10;96,5296557820695
3572890;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;10;96,5296557820695
3572890;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;10;96,5296557820695
3572890;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;10;96,5296557820695
3572891;1;1;2;2;20; ;2; ; ;1;2; ; ;1; ;10;273,033261274386
3572891;1;2;2;2;20; ;2; ; ;1;2; ; ;1; ;10;273,033261274386
3572891;1;3;2;2;20; ;2; ; ;1;2; ; ;1; ;10;273,033261274386
3572891;1;4;2;2;20; ;2; ; ;1;2; ; ;1; ;10;273,033261274386
3572891;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;10;273,033261274386
3572891;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;10;273,033261274386
3572891;1;7;1; ; ; ; ; ; ; ; ; ; ; ; ;10;273,033261274386
3572892;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;10;144,48779255806
3572892;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;10;144,48779255806
3572892;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;10;144,48779255806
3572892;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;10;144,48779255806
3572893;1;1;2;2;20; ;2; ; ;1;2; ; ;1; ;10;212,756592704149
3572893;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;10;212,756592704149
3572893;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;10;212,756592704149
3572894;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;10;208,049615691928
3572894;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;10;208,049615691928
3572894;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;10;208,049615691928
3572896;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;10;243,884438293001
3572896;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;10;243,884438293001
3572896;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;10;243,884438293001
3572896;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;10;243,884438293001
3572896;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;10;243,884438293001
3572897;1;1;2;2;54; ;2; ; ;1;2; ; ;1; ;10;137,807421255432
3572897;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;10;137,807421255432
3572897;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;10;137,807421255432
3572897;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;10;137,807421255432
3572897;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;10;137,807421255432
3572898;1;1;2;2;08; ;3;08; ;1;3;08; ;1; ;10;165,768778981667
3572898;2;1;2;2;13; ;2; ; ;1;2; ; ;1; ;10;165,768778981667
3572899;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;10;152,192057260949
3572899;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;10;152,192057260949
3572899;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;10;152,192057260949
3572899;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;10;152,192057260949
3572899;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;10;152,192057260949
