directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3551498;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;09;132,4479699337
3551499;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;09;144,372010892752
3551499;1;2;2;2;13; ;2; ; ;1;2; ; ;1; ;09;144,372010892752
3551500;1;1;2;1; ; ;3;11; ;1;2; ; ;1; ;09;138,299652995502
3551500;1;2;2;1; ; ;3;11; ;1;2; ; ;1; ;09;138,299652995502
3551500;1;3;2;1; ; ;3;11; ;1;2; ; ;1; ;09;138,299652995502
3551500;1;4;2;1; ; ;3;11; ;1;2; ; ;1; ;09;138,299652995502
3551500;1;5;2;1; ; ;3;11; ;1;2; ; ;1; ;09;138,299652995502
3551501;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;09;168,41994482401
3551501;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;09;168,41994482401
3551501;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;09;168,41994482401
3551502;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;09;132,4479699337
3551503;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;09;157,160118417669
3551503;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;09;157,160118417669
3551503;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;09;157,160118417669
3551503;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;09;157,160118417669
3551504;1;1;2;2;13; ;2; ; ;1;2; ; ;1; ;09;154,010147336187
3551504;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;09;154,010147336187
3551505;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;09;143,99667202856
3551505;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;09;143,99667202856
3551505;1;3;2;2;08; ;2; ; ;1;2; ; ;1; ;09;143,99667202856
3551506;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;09;144,372010892752
3551506;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;09;144,372010892752
3551507;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;09;140,497500982117
3551507;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;09;140,497500982117
3551507;1;3;2;2;47; ;2; ; ;1;2; ; ;1; ;09;140,497500982117
3551507;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;09;140,497500982117
3551507;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;09;140,497500982117
3551507;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;09;140,497500982117
3551507;1;7;1; ; ; ; ; ; ; ; ; ; ; ; ;09;140,497500982117
3551508;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;09;105,381566752755
3551508;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;09;105,381566752755
3551509;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;09;132,332556957697
3551510;1;1;2;2;08; ;2; ; ;1;2; ; ;1; ;09;232,476143281878
3551510;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;09;232,476143281878
3551510;1;3;2;2;13; ;3;08; ;1;2; ; ;1; ;09;232,476143281878
3551511;1;1;2;2;11; ;2; ; ;1;2; ; ;1; ;09;309,419562573553
3551511;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;09;309,419562573553
3551511;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;09;309,419562573553
3551511;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;09;309,419562573553
3551511;1;5;2;2;08; ;2; ; ;1;2; ; ;1; ;09;309,419562573553
3551512;1;1;2;2;05; ;3;05; ;1;2; ; ;1; ;09;277,806409024346
3551512;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;09;277,806409024346
3551512;1;3;2;2;05; ;3;05; ;1;2; ; ;1; ;09;277,806409024346
3551512;1;4;2;2;05; ;1; ; ; ;2; ; ;1; ;09;277,806409024346
3551512;1;5;2;2;47; ;3;47; ;1;2; ; ;1; ;09;277,806409024346
3551513;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;09;303,311785278425
3551513;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;09;303,311785278425
3551513;1;3;2;3; ;7;2; ; ;1;2; ; ;1; ;09;303,311785278425
3551513;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;09;303,311785278425
3551513;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;09;303,311785278425
3551513;1;6;2;2;47; ;2; ; ;1;3;11; ;1; ;09;303,311785278425
3551514;1;1;2;2;11; ;3;11; ;1;3;11; ;1; ;09;264,665113915394
3551515;1;1;2;2;66; ;2; ; ;1;2; ; ;1; ;09;336,033246611706
3551515;1;2;2;2;11; ;2; ; ;1;2; ; ;1; ;09;336,033246611706
3551515;1;3;2;2;08; ;2; ; ;1;2; ; ;1; ;09;336,033246611706
