directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3704584;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;04;86,6835820895484
3704584;1;2;2;2;13; ;2; ; ;1;2; ; ;1; ;04;86,6835820895484
3704584;1;3;2;1; ; ;3;08; ;1;2; ; ;1; ;04;86,6835820895484
3704584;1;4;2;2;13; ;3;08; ;1;2; ; ;1; ;04;86,6835820895484
3704584;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;04;86,6835820895484
3704585;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;04;139,722436787192
3704585;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;04;139,722436787192
3704585;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;04;139,722436787192
3704586;1;1;2;2;47; ;2; ; ;1;2; ; ;1; ;04;86,6835820895484
3704586;1;2;2;2;47; ;2; ; ;1;2; ; ;1; ;04;86,6835820895484
3704586;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;04;86,6835820895484
3704586;1;4;2;2;20; ;2; ; ;1;2; ; ;1; ;04;86,6835820895484
3704587;1;1;2;2;73; ;3;86; ;1;3;18; ;1; ;04;89,4961025233837
3704588;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;04;81,2538624796451
3704588;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;04;81,2538624796451
3704589;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;04;108,287067608053
3704589;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;04;108,287067608053
3704589;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;04;108,287067608053
3704590;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;04;94,3226020695098
3704590;1;2;2;2;15; ;3;25; ;1;2; ; ;1; ;04;94,3226020695098
3704590;1;3;2;2;15; ;3;15; ;2;3;15; ;2;2;04;94,3226020695098
3704590;1;4;2;2;15; ;3;25; ;1;2; ; ;1; ;04;94,3226020695098
3704591;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;04;87,5313305482688
3704591;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;04;87,5313305482688
3704591;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;04;87,5313305482688
3704591;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;04;87,5313305482688
3704591;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;04;87,5313305482688
3704592;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;04;105,233680432674
3704592;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;04;105,233680432674
3704592;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;04;105,233680432674
3704592;1;4;2;2;15; ;3;15; ;1;3;25; ;1; ;04;105,233680432674
3704593;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;04;83,6756774773909
3704594;1;1;2;2;11; ;2; ; ;1;2; ; ;1; ;04;88,0520280606055
3704595;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;04;59,049109777889
3704595;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;04;59,049109777889
3704595;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;04;59,049109777889
3704596;1;1;2;2;15; ;3;15; ;2;2; ; ;1; ;04;115,902676653352
3704596;1;2;2;2;15; ;3;15; ;2;2; ; ;1; ;04;115,902676653352
3704596;1;3;2;2;15; ;3;15; ;2;2; ; ;1; ;04;115,902676653352
3704597;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;04;230,156678258588
3704597;1;2;2;2;11; ;3;11; ;1;2; ; ;1; ;04;230,156678258588
3704598;1;1;2;2;11; ;3;52; ;1;2; ; ;1; ;04;102,796627291345
3704599;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;04;69,1358506169951
3704599;1;2;2;2;15; ;3;15; ;1;2; ; ;1; ;04;69,1358506169951
3704600;1;1;2;2;15; ;3;15; ;1;2; ; ;1; ;04;62,5449119812648
3704600;1;2;2;2;15; ;3;15; ;1;2; ; ;1; ;04;62,5449119812648
3704601;1;1;2;2;15; ;3;15; ;1;3;15; ;1; ;04;102,755554896301
3704602;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;04;88,0520280606055
3704603;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;04;158,917503956949
3704604;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;04;166,69720805826
3704604;1;2;2;2;05; ;2; ; ;1;2; ; ;1; ;04;166,69720805826
3704604;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;04;166,69720805826
3704604;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;04;166,69720805826
3704604;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;04;166,69720805826
3704605;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;04;130,391099278996
3704605;1;2;2;2;76; ;2; ; ;1;2; ; ;1; ;04;130,391099278996
3704606;1;1;2;1; ; ;4; ;2; ;4; ;2; ;4;04;264,556243354565
3704606;1;2;2;2;17; ;4; ;2; ;2; ; ;1; ;04;264,556243354565
3704606;1;3;2;3; ;2;4; ;2; ;2; ; ;1; ;04;264,556243354565
