directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3639540;1;1;2;2;25; ;3;86; ;2;2; ; ;1; ;01;72,5661667716794
3639540;1;2;2;2;47; ;3;86; ;2;2; ; ;1; ;01;72,5661667716794
3639540;1;3;2;2;86; ;3;86; ;2;2; ; ;1; ;01;72,5661667716794
3639540;1;4;2;2;86; ;3;86; ;2;2; ; ;1; ;01;72,5661667716794
3639541;1;1;2;2;18; ;2; ; ;1;2; ; ;1; ;01;67,8424668486969
3639541;1;2;2;2;18; ;2; ; ;1;2; ; ;1; ;01;67,8424668486969
3639541;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;01;67,8424668486969
3639541;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;01;67,8424668486969
3639542;1;1;2;2;19; ;2; ; ;1;2; ; ;1; ;01;84,4399071747105
3639542;1;2;2;2;41; ;2; ; ;1;2; ; ;1; ;01;84,4399071747105
3639543;1;1;2;1; ; ;3;18; ;2;3;18; ;2;4;01;47,440883790059
3639543;1;2;2;1; ; ;1; ; ; ;3;18; ;2;4;01;47,440883790059
3639543;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;01;47,440883790059
3639544;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;01;66,5108413856253
3639545;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;01;45,8864407969998
3639545;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;01;45,8864407969998
3639545;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;01;45,8864407969998
3639545;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;01;45,8864407969998
3639546;1;1;2;3; ;11;2; ; ;1;2; ; ;1; ;01;56,9322821054583
3639546;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;01;56,9322821054583
3639547;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;01;38,2125301210607
3639547;1;2;2;2;18; ;2; ; ;1;2; ; ;1; ;01;38,2125301210607
3639547;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;01;38,2125301210607
3639547;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;01;38,2125301210607
3639547;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;01;38,2125301210607
3639547;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;01;38,2125301210607
3639548;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;01;56,9322821054583
3639548;1;2;2;2;41; ;2; ; ;1;2; ; ;1; ;01;56,9322821054583
3639549;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;01;119,709499983479
3639549;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;01;119,709499983479
3639550;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;01;79,3962322644973
3639550;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;01;79,3962322644973
3639550;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;01;79,3962322644973
3639551;1;1;2;2;68; ;2; ; ;1;2; ; ;1; ;01;86,1684686421799
3639551;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;01;86,1684686421799
3639552;1;1;2;2;54; ;3;15; ;1;2; ; ;1; ;01;103,157945751646
3639553;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;01;85,06688224939
3639554;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;01;110,652448960237
3639554;1;2;2;2;11; ;2; ; ;1;2; ; ;1; ;01;110,652448960237
3639554;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;01;110,652448960237
3639554;1;4;2;2;15; ;2; ; ;1;2; ; ;1; ;01;110,652448960237
3639555;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;01;84,0203651671724
3639555;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;01;84,0203651671724
3639555;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;01;84,0203651671724
