directorio;secuencia_p;orden;p6074;p756;p756s1;p756s3;p755;p755s1;p755s3;p754;p753;p753s1;p753s3;p752;p751;mes;fex_c_2011
3861716;1;1;2;2;73; ;2; ; ;1;2; ; ; ; ;11;69,9268541450135
3861717;1;1;2;1; ; ;2; ; ;1;2; ; ; ; ;11;51,3631754389888
3861718;1;1;2;2;41; ;2; ; ;1;2; ; ; ; ;11;29,3680957898803
3861718;1;2;2;2;41; ;2; ; ;1;2; ; ; ; ;11;29,3680957898803
3861718;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;29,3680957898803
3861718;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;11;29,3680957898803
3861719;1;1;2;1; ; ;2; ; ;1;2; ; ; ; ;11;105,046633328725
3861719;1;2;2;1; ; ;2; ; ;1;2; ; ; ; ;11;105,046633328725
3861720;1;1;2;2;17; ;2; ; ;1;2; ; ; ; ;11;118,933460071617
3861721;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;182,411588857107
3861721;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;182,411588857107
3861721;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;182,411588857107
3861722;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;192,111713051649
3861722;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;192,111713051649
3861723;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;186,122757505942
3861723;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;186,122757505942
3861723;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;186,122757505942
3861724;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;158,668849713478
3861724;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;158,668849713478
3861725;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;209,304291329172
3861726;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;161,665456077344
3861726;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;161,665456077344
3861727;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;158,668849713478
3861727;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;158,668849713478
3861728;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;226,933742083575
3861728;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;226,933742083575
3861728;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;226,933742083575
3861731;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;185,488732359017
3861732;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;158,668849713478
3861732;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;158,668849713478
3861733;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;80,8536740719534
3861734;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;177,623131625145
3861734;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;177,623131625145
3861735;1;1;2;2;15; ;2; ; ;1;2; ; ; ; ;11;74,368800531788
3861735;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;74,368800531788
3861736;1;1;2;2;15; ;2; ; ;1;2; ; ; ; ;11;65,7349121671528
3861736;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;65,7349121671528
3861736;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;65,7349121671528
3861736;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;11;65,7349121671528
3861737;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;124,834539910043
3861737;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;124,834539910043
3861738;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;80,3360003616512
3861738;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;80,3360003616512
3861739;1;1;2;2;52; ;2; ; ;1;2; ; ; ; ;11;94,1021264131956
3861739;1;2;2;2;52; ;2; ; ;1;2; ; ; ; ;11;94,1021264131956
3861739;1;3;2;2;76; ;2; ; ;1;2; ; ; ; ;11;94,1021264131956
3861740;1;1;2;2;81; ;3;81; ;1;2; ; ; ; ;11;124,834539910043
3861740;1;2;2;2;15; ;3;15; ;1;2; ; ; ; ;11;124,834539910043
3861741;1;1;2;2;15; ;2; ; ;1;2; ; ; ; ;11;124,834539910043
3861741;1;2;2;2;15; ;2; ; ;1;2; ; ; ; ;11;124,834539910043
3861750;1;1;2;2;47; ;3;44; ;1;3;44; ; ; ;11;137,848182503749
3861750;1;2;2;2;47; ;3;44; ;1;2; ; ; ; ;11;137,848182503749
3861751;1;1;2;2;44; ;2; ; ;1;2; ; ; ; ;11;137,848182503749
3861751;1;2;2;2;70; ;2; ; ;1;2; ; ; ; ;11;137,848182503749
3861752;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;137,848182503749
3861752;1;2;2;2;20; ;2; ; ;1;2; ; ; ; ;11;137,848182503749
3861753;1;1;2;1; ; ;4; ;1; ;2; ; ; ; ;11;1117,43966620442
3861754;1;1;2;1; ; ;2; ; ;1;2; ; ; ; ;11;925,9141463085
3861755;1;1;2;2;19; ;3;11; ;1;2; ; ; ; ;11;925,9141463085
3861756;1;1;2;2;19; ;2; ; ;1;2; ; ; ; ;11;895,273506504873
3861756;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;895,273506504873
3861757;1;1;2;2;47; ;2; ; ;1;2; ; ; ; ;11;960,068334513018
3861757;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;960,068334513018
3861758;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;662,423974241121
3861758;1;2;2;2;76; ;2; ; ;1;2; ; ; ; ;11;662,423974241121
3861758;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;662,423974241121
3861758;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;11;662,423974241121
3861758;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;11;662,423974241121
3861759;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1062,80399066406
3861760;1;1;2;2;19; ;2; ; ;1;2; ; ; ; ;11;848,610018460741
3861760;1;2;2;2;19; ;2; ; ;1;2; ; ; ; ;11;848,610018460741
3861760;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;848,610018460741
3861761;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;930,200842021725
3861761;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;930,200842021725
3861761;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;930,200842021725
3861761;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;930,200842021725
3861761;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;930,200842021725
3861761;2;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;930,200842021725
3861761;2;4;1; ; ; ; ; ; ; ; ; ; ; ; ;11;930,200842021725
3861761;3;1;2;2;76; ;2; ; ;1;2; ; ; ; ;11;930,200842021725
3861762;1;1;2;1; ; ;2; ; ;1;2; ; ; ; ;11;1091,74906736824
3861762;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1091,74906736824
3861762;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1091,74906736824
3861762;3;1;2;2;73; ;2; ; ;1;2; ; ; ; ;11;1091,74906736824
3861763;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1139,46639177019
3861763;1;2;2;1; ; ;2; ; ;1;2; ; ; ; ;11;1139,46639177019
3861763;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1139,46639177019
3861763;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1139,46639177019
3861764;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1029,68833037671
3861765;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;820,833833849688
3861765;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;820,833833849688
3861765;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;820,833833849688
3861765;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;11;820,833833849688
3861765;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;11;820,833833849688
3861766;1;1;2;2;19; ;2; ; ;1;2; ; ; ; ;11;1602,85813246765
3861766;1;2;2;2;13; ;2; ; ;1;2; ; ; ; ;11;1602,85813246765
3861766;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1602,85813246765
3861766;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1602,85813246765
3861766;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1602,85813246765
3861766;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1602,85813246765
3861767;1;1;2;1; ; ;4; ;2; ;2; ; ; ; ;11;1262,98624833963
3861767;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1262,98624833963
3861767;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1262,98624833963
3861768;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1128,57142446779
3861768;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;11;1128,57142446779
