Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4116584;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1146,75945888007
4116584;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1146,75945888007
4116584;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1146,75945888007
4116585;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1127,1294312855
4116585;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1127,1294312855
4116585;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1127,1294312855
4116585;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1127,1294312855
4116586;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1131,86284877179
4116586;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1131,86284877179
4116586;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1131,86284877179
4116586;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1131,86284877179
4116587;1;1;1;2;5; ;2; ; ;1;2; ; ;1; ;08;1096,40612220317
4116587;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1096,40612220317
4116587;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1096,40612220317
4116587;1;4;2;2;5; ;3;5; ;1;2; ; ;1; ;08;1096,40612220317
4116588;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1067,8793096311
4116588;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;08;1067,8793096311
4116588;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;08;1067,8793096311
4116588;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;08;1067,8793096311
4116589;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1095,01563581221
4116590;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1150,90584156462
4116590;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1150,90584156462
4116590;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;08;1150,90584156462
4116590;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;08;1150,90584156462
