Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4206769;1;1;1;2;5; ;2; ; ;1;2; ; ;1; ;12;1205,4530536493
4206769;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1205,4530536493
4206769;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1205,4530536493
4206770;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1072,17088974916
4206770;1;2;2;2;23; ;2; ; ;1;2; ; ;1; ;12;1072,17088974916
4206770;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1072,17088974916
4206770;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;12;1072,17088974916
4206770;1;5;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1072,17088974916
4206770;1;6;2;2;23; ;2; ; ;1;2; ; ;1; ;12;1072,17088974916
4206770;1;7;2;2;23; ;3;23; ;1;2; ; ;1; ;12;1072,17088974916
4206771;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1070,60850340484
4206771;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1070,60850340484
4206771;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1070,60850340484
4206771;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1070,60850340484
4206771;1;5;2;1; ; ;2; ; ;1;2; ; ;1; ;12;1070,60850340484
4206772;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1013,01708633195
4206772;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;12;1013,01708633195
4206772;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1013,01708633195
4206772;1;4;2;2;66; ;2; ; ;1;2; ; ;1; ;12;1013,01708633195
4206773;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1302,27730953961
4206773;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;12;1302,27730953961
4206773;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1302,27730953961
4206774;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1176,94427775376
4206774;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;12;1176,94427775376
4206774;1;3;2;2;66; ;2; ; ;1;2; ; ;1; ;12;1176,94427775376
4206774;1;4;2;2;63; ;2; ; ;1;2; ; ;1; ;12;1176,94427775376
4206775;1;1;2;2;27; ;2; ; ;1;2; ; ;1; ;12;1205,4530536493
4206775;1;2;2;2;23; ;2; ; ;1;2; ; ;1; ;12;1205,4530536493
4206775;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1205,4530536493
4206776;1;1;2;2;27; ;2; ; ;1;2; ; ;1; ;12;935,657051275101
4206776;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;12;935,657051275101
4206776;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;12;935,657051275101
4206777;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1003,70176939731
4206777;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1003,70176939731
4206778;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1358,12302848435
4206778;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1358,12302848435
4206778;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1358,12302848435
4206778;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1358,12302848435
4206779;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1142,65665484126
4206779;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1142,65665484126
4206779;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1142,65665484126
4206780;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;12;1244,98899587597
4206780;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;12;1244,98899587597
4206780;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;12;1244,98899587597
4206781;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;12;1011,75780339687
4206781;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1011,75780339687
4206781;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1011,75780339687
4206782;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1123,51979572401
4206782;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1123,51979572401
4206782;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1123,51979572401
4206782;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1123,51979572401
4206782;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1123,51979572401
4206783;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1204,13717087058
4206783;1;2;2;2;5; ;3;5; ;1;2; ; ;1; ;12;1204,13717087058
4206783;1;3;2;2;5; ;3;5; ;1;2; ; ;1; ;12;1204,13717087058
4206784;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;12;877,230753496779
4206784;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;12;877,230753496779
4206784;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;12;877,230753496779
4206784;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;12;877,230753496779
4206784;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;12;877,230753496779
4206784;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;12;877,230753496779
4206784;1;7;1;1; ; ;1; ; ; ;2; ; ;1; ;12;877,230753496779
4206785;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1033,77293163717
4206785;1;2;2;2;5; ;3;5; ;1;3;5; ;1; ;12;1033,77293163717
4206785;1;3;2;2;5; ;1; ; ; ;3;5; ;1; ;12;1033,77293163717
4206786;1;1;2;2;66; ;2; ; ;1;2; ; ;1; ;12;1246,43159059487
4206786;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1246,43159059487
4206787;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;12;1202,57478452626
4206788;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;12;1244,98899587597
