Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
3905862;1;1;1;2;41; ;2; ; ;1;2; ; ;1; ;01;71,2290175528889
3905862;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;71,2290175528889
3905862;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;71,2290175528889
3905862;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;01;71,2290175528889
3905863;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;81,828012494155
3905863;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;81,828012494155
3905863;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;81,828012494155
3905863;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;01;81,828012494155
3905864;1;1;1;2;18; ;2; ; ;1;2; ; ;1; ;01;68,9212474346893
3905864;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;68,9212474346893
3905865;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;01;50,8770443812827
3905865;1;2;2;2;41; ;2; ; ;1;2; ; ;1; ;01;50,8770443812827
3905865;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;50,8770443812827
3905866;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;01;68,9212474346893
3905866;1;2;2;2;18; ;2; ; ;1;2; ; ;1; ;01;68,9212474346893
3905867;1;1;2;2;76; ;3;76; ;1;2; ; ;1; ;01;72,2122398713255
3905867;1;2;2;2;76; ;3;76; ;1;2; ; ;1; ;01;72,2122398713255
3905867;1;3;1;2;76; ;3;76; ;1;2; ; ;1; ;01;72,2122398713255
3905868;1;1;2;2;91; ;2; ; ;1;2; ; ;1; ;01;62,2388550272233
3905868;1;2;2;2;91; ;2; ; ;1;2; ; ;1; ;01;62,2388550272233
3905868;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;01;62,2388550272233
3905869;1;1;2;2;68; ;3;52; ;1;3;18; ;2;1;01;83,168640054262
3905870;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;01;68,9212474346893
3905870;1;2;2;2;18; ;2; ; ;1;2; ; ;1; ;01;68,9212474346893
3905871;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;01;68,9212474346893
3905871;1;2;2;2;63; ;2; ; ;1;2; ; ;1; ;01;68,9212474346893
3905872;1;1;2;2;50; ;3;50; ;1;2; ; ;1; ;01;54,9469191766526
3905872;1;2;2;2;95; ;3;50; ;1;2; ; ;1; ;01;54,9469191766526
3905872;1;3;2;2;95; ;3;50; ;1;2; ; ;1; ;01;54,9469191766526
3905872;1;4;2;2;50; ;3;50; ;1;2; ; ;1; ;01;54,9469191766526
3905873;1;1;1;2;63; ;2; ; ;1;2; ; ;1; ;01;66,172871068568
3905873;1;2;2;2;63; ;2; ; ;1;2; ; ;1; ;01;66,172871068568
3905873;1;3;2;2;73; ;2; ; ;1;2; ; ;1; ;01;66,172871068568
3905874;1;1;2;2;11; ;2; ; ;1;2; ; ;1; ;01;73,827044451708
3905874;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;01;73,827044451708
3905875;1;1;2;2;15; ;2; ; ;1;2; ; ;1; ;01;111,91799825591
3905875;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;01;111,91799825591
3905875;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;111,91799825591
3905876;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;01;64,0166303245523
3905876;1;2;2;2;41; ;2; ; ;1;2; ; ;1; ;01;64,0166303245523
3905876;1;3;2;2;68; ;2; ; ;1;2; ; ;1; ;01;64,0166303245523
3905877;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;01;72,8472233196658
3905877;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;01;72,8472233196658
3905878;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;01;67,5703884377434
3905878;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;01;67,5703884377434
3905879;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;108,158313403616
3905880;1;1;2;2;54; ;2; ; ;1;2; ; ;1; ;01;77,3808025648992
3905881;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;77,3808025648992
3905882;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;01;167,214335287923
3905882;1;2;2;2;18; ;2; ; ;1;2; ; ;1; ;01;167,214335287923
3905883;1;1;2;2;52; ;2; ; ;1;2; ; ;1; ;01;153,660055476339
3905883;1;2;2;2;41; ;2; ; ;1;2; ; ;1; ;01;153,660055476339
3905883;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;153,660055476339
3905883;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;153,660055476339
3905884;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;152,574894496234
3905884;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;152,574894496234
3905885;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;177,807290198843
3905885;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;177,807290198843
3905885;1;3;1;2;41; ;2; ; ;1;2; ; ;1; ;01;177,807290198843
3905885;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;177,807290198843
3905885;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;01;177,807290198843
3905886;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;137,55532130401
3905886;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;137,55532130401
3905886;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;01;137,55532130401
3905886;1;4;1;1; ; ;1; ; ; ;1; ; ; ; ;01;137,55532130401
3905887;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;130,662783981327
3905887;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;130,662783981327
3905887;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;01;130,662783981327
3905887;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;130,662783981327
3905888;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;127,952414715275
3905888;1;2;2;2;18; ;2; ; ;1;2; ; ;1; ;01;127,952414715275
3905888;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;127,952414715275
3905889;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;139,578627572588
3905889;1;2;2;2;41; ;2; ; ;1;2; ; ;1; ;01;139,578627572588
3905889;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;139,578627572588
3905889;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;139,578627572588
3905890;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;188,873926157834
3905890;1;2;2;2;17; ;3;17; ;1;2; ; ;1; ;01;188,873926157834
3905890;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;188,873926157834
3905890;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;188,873926157834
3905890;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;01;188,873926157834
3905891;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;01;189,512382314498
3905891;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;189,512382314498
3905892;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;196,832960547116
3905893;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;01;216,255949596019
3905893;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;01;216,255949596019
3905893;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;216,255949596019
3905894;1;1;1;2;76; ;2; ; ;1;2; ; ;1; ;01;134,222090167102
3905894;1;2;2;2;63; ;2; ; ;1;2; ; ;1; ;01;134,222090167102
3905894;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;134,222090167102
3905895;1;1;2;1; ; ;3;11; ;1;3;11; ;1; ;01;142,792917674491
3905895;1;2;2;2;73; ;3;11; ;1;3;11; ;1; ;01;142,792917674491
3905895;1;3;2;2;11; ;3;11; ;1;2; ; ;1; ;01;142,792917674491
3905895;1;4;2;2;11; ;3;11; ;1;3;11; ;1; ;01;142,792917674491
3905896;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;01;156,677950478752
3905896;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;01;156,677950478752
3905896;1;3;2;2;11; ;2; ; ;1;2; ; ;1; ;01;156,677950478752
3905897;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;178,587457481663
3905898;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;157,46192530698
3905898;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;157,46192530698
3905898;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;157,46192530698
3905899;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;186,632353205268
3905899;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;186,632353205268
3905899;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;186,632353205268
3905899;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;186,632353205268
3905900;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;01;148,107122971363
3905900;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;01;148,107122971363
3905901;1;1;1;2;11; ;2; ; ;1;2; ; ;1; ;01;195,262838049898
3905903;1;1;2;2;68; ;2; ; ;1;2; ; ;1; ;01;164,702424677401
3905903;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;01;164,702424677401
3905904;1;1;2;2;13; ;2; ; ;1;2; ; ;1; ;01;211,649659691932
3905904;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;01;211,649659691932
3905904;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;01;211,649659691932
3905905;1;1;2;1; ; ;3;76; ;1;2; ; ;1; ;01;195,262838049898
3905906;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;01;133,438115338874
3905906;1;2;2;2;76; ;2; ; ;1;2; ; ;1; ;01;133,438115338874
3905906;1;3;2;2;17; ;2; ; ;1;2; ; ;1; ;01;133,438115338874
3905907;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;164,702424677401
3905907;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;164,702424677401
3905909;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;01;156,597871616555
3905909;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;156,597871616555
3905909;1;3;2;2;17; ;2; ; ;1;2; ; ;1; ;01;156,597871616555
3905910;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;189,512382314498
3905910;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;01;189,512382314498
3905911;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;01;261,552983251134
3905911;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;01;261,552983251134
3905911;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;261,552983251134
3905911;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;01;261,552983251134
3905912;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;01;480,575429754028
3905912;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;480,575429754028
3905912;2;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;480,575429754028
3905912;2;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;480,575429754028
3905912;2;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;480,575429754028
3905912;2;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;480,575429754028
3905912;3;1;2;2;17; ;2; ; ;1;2; ; ;1; ;01;480,575429754028
3905912;3;2;2;2;17; ;2; ; ;1;2; ; ;1; ;01;480,575429754028
3905912;3;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;480,575429754028
3905912;3;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;480,575429754028
3905913;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;379,024764628995
3905913;1;2;2;1; ; ;3;66; ;1;3;11; ;1; ;01;379,024764628995
3905914;1;1;1;2;17; ;2; ; ;1;2; ; ;1; ;01;280,005139821034
3905914;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;280,005139821034
3905914;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;01;280,005139821034
3905915;1;1;2;2;66; ;3;66; ;1;2; ; ;1; ;01;249,894733387363
3905915;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;01;249,894733387363
3905916;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;516,393885243634
3905916;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;01;516,393885243634
3905916;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;01;516,393885243634
3905916;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;01;516,393885243634
3905916;1;5;1;1; ; ;1; ; ; ;2; ; ;1; ;01;516,393885243634
3905916;1;6;1;1; ; ;1; ; ; ;2; ; ;1; ;01;516,393885243634
3905917;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;01;390,260834842673
