Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
3927768;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;02;88,0011435860452
3927768;1;2;2;2;18; ;3;18; ;1;2; ; ;1; ;02;88,0011435860452
3927769;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;02;65,1104502439257
3927769;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;02;65,1104502439257
3927770;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;02;73,8780657747357
3927770;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;02;73,8780657747357
3927770;1;3;2;2;18; ;2; ; ;1;2; ; ;1; ;02;73,8780657747357
3927770;1;4;2;2;86; ;2; ; ;1;2; ; ;1; ;02;73,8780657747357
3927770;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;02;73,8780657747357
3927771;1;1;2;2;18; ;3;18; ;1;2; ; ;1; ;02;85,0976008297614
3927771;1;2;2;2;18; ;3;18; ;1;2; ; ;1; ;02;85,0976008297614
3927771;1;3;2;1; ; ;3;18; ;1;2; ; ;1; ;02;85,0976008297614
3927771;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;02;85,0976008297614
3927772;1;1;2;2;41; ;3;41; ;1;2; ; ;1; ;02;85,0976008297614
3927772;1;2;2;2;41; ;3;41; ;1;2; ; ;1; ;02;85,0976008297614
3927772;1;3;2;2;41; ;3;41; ;1;2; ; ;1; ;02;85,0976008297614
3927772;1;4;2;2;41; ;1; ; ; ;2; ; ;1; ;02;85,0976008297614
3927773;1;1;2;2;41; ;2; ; ;1;2; ; ;1; ;02;70,7129862696382
3927774;1;1;2;2;18; ;2; ; ;1;2; ; ;1; ;02;88,6052852675193
3927774;1;2;2;2;86; ;2; ; ;1;2; ; ;1; ;02;88,6052852675193
3927774;1;3;2;2;86; ;2; ; ;1;2; ; ;1; ;02;88,6052852675193
3927774;1;4;2;2;19; ;2; ; ;1;2; ; ;1; ;02;88,6052852675193
3927774;1;5;2;2;18; ;2; ; ;1;2; ; ;1; ;02;88,6052852675193
3927774;1;6;2;2;86; ;2; ; ;1;2; ; ;1; ;02;88,6052852675193
3927774;1;7;2;2;86; ;2; ; ;1;2; ; ;1; ;02;88,6052852675193
3927774;1;8;1;1; ; ;2; ; ;1;2; ; ;1; ;02;88,6052852675193
3927774;1;9;1;1; ; ;1; ; ; ;1; ; ; ; ;02;88,6052852675193
3927775;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;02;128,813756329907
3927775;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;02;128,813756329907
3927775;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;02;128,813756329907
3927776;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;02;151,124549631204
3927776;1;2;1;2;27; ;2; ; ;1;2; ; ;1; ;02;151,124549631204
3927777;1;1;2;2;05; ;2; ; ;1;2; ; ;1; ;02;119,19228499624
3927777;1;2;2;2;66; ;3;76; ;1;2; ; ;1; ;02;119,19228499624
3927777;1;3;2;2;66; ;3;76; ;1;3;52; ;1; ;02;119,19228499624
3927777;1;4;2;1; ; ;3;76; ;1;2; ; ;1; ;02;119,19228499624
3927778;1;1;2;2;17; ;3;27; ;2;3;17; ;1; ;02;217,773138829453
