Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4161807;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1337,27845013839
4161807;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1337,27845013839
4161807;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1337,27845013839
4161807;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1337,27845013839
4161808;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;881,033675820259
4161808;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;881,033675820259
4161808;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;881,033675820259
4161808;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;881,033675820259
4161809;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;873,065689846278
4161809;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;873,065689846278
4161810;1;1;2;2;23; ;3;5; ;1;2; ; ;1; ;10;1037,1364043129
4161811;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;897,662329413117
4161811;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;897,662329413117
4161812;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;10;1022,58893496046
4161812;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;10;1022,58893496046
4161812;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1022,58893496046
4161813;1;1;2;2;5; ;2; ; ;1;3;5; ;2;10;10;2233,22578430222
4161813;1;2;2;2;11; ;2; ; ;1;3;5; ;2;10;10;2233,22578430222
4161813;1;3;2;2;5; ;3;5; ;2;2; ; ;1; ;10;2233,22578430222
4161814;1;1;2;2;27; ;3;27; ;1;2; ; ;1; ;10;2276,60876020649
4161814;1;2;2;2;27; ;3;27; ;1;2; ; ;1; ;10;2276,60876020649
4161814;1;3;2;2;27; ;3;27; ;1;3;76; ;1; ;10;2276,60876020649
4161815;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;10;1878,87623071699
4161815;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1878,87623071699
4161815;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1878,87623071699
4161815;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1878,87623071699
4161815;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1878,87623071699
4161816;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1050,090726142
4161816;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1050,090726142
4161816;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1050,090726142
4161817;1;1;2;2;5; ;3;5; ;2;2; ; ;1; ;10;1205,57357732527
4161817;1;2;2;2;5; ;2; ; ;2;2; ; ;1; ;10;1205,57357732527
4161817;1;3;2;2;5; ;3;5; ;2;2; ; ;1; ;10;1205,57357732527
4161818;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1022,58893496046
4161818;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1022,58893496046
4161818;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1022,58893496046
4161819;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1131,16036150355
4161820;1;1;1;2;5; ;2; ; ;1;2; ; ;1; ;10;1216,3761167444
4161820;1;2;2;1; ; ;3;5; ;1;2; ; ;1; ;10;1216,3761167444
4161820;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;10;1216,3761167444
4161821;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;2147,99378045984
4161821;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2147,99378045984
4161821;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2147,99378045984
4161821;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;2147,99378045984
4161822;1;1;2;2;5; ;3;5; ;2;3;5; ;2;8;10;972,004947065285
4161822;1;2;2;1; ; ;3;5; ;2;2; ; ;1; ;10;972,004947065285
4161823;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1066,85287163022
4161823;1;2;1;2;5; ;1; ; ; ;1; ; ; ; ;10;1066,85287163022
4161824;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;841,960165070532
4161824;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;841,960165070532
4161824;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;841,960165070532
4161824;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;841,960165070532
4161824;1;5;1;1; ; ;1; ; ; ;2; ; ;1; ;10;841,960165070532
4161824;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;10;841,960165070532
4161824;1;7;1;1; ; ;2; ; ;1;2; ; ;1; ;10;841,960165070532
4161824;1;8;1;2;5; ;2; ; ;1;2; ; ;1; ;10;841,960165070532
4161825;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1040,0415559276
4161826;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2407,80565353237
4161827;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;10;1890,68233138717
4161827;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1890,68233138717
4161827;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1890,68233138717
4161828;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;979,427121096815
4161828;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;979,427121096815
4161828;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;10;979,427121096815
4161828;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;10;979,427121096815
4161828;1;5;2;2;5; ;2; ; ;1;2; ; ;1; ;10;979,427121096815
4161828;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;10;979,427121096815
4161828;1;7;1;1; ; ;1; ; ; ;2; ; ;1; ;10;979,427121096815
4161828;1;8;2;2;5; ;2; ; ;1;2; ; ;1; ;10;979,427121096815
4161828;1;9;2;2;5; ;2; ; ;1;2; ; ;1; ;10;979,427121096815
4161828;1;10;1;2;5; ;2; ; ;1;2; ; ;1; ;10;979,427121096815
4161828;1;11;2;2;5; ;2; ; ;1;2; ; ;1; ;10;979,427121096815
4161829;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;10;2330,07751928899
4161829;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;2330,07751928899
4161829;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;10;2330,07751928899
4161829;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2330,07751928899
4161830;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;972,004947065285
4161830;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;972,004947065285
4161831;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;10;2578,23716401408
4161831;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;10;2578,23716401408
4161831;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2578,23716401408
4161832;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1090,62554382278
4161832;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1090,62554382278
4161833;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1162,13360802979
4161833;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1162,13360802979
4161833;1;3;2;2;17; ;2; ; ;1;2; ; ;1; ;10;1162,13360802979
4161833;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1162,13360802979
4161834;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1131,16036150355
4161835;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2080,0831118552
4161836;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2200,39766677979
4161836;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2200,39766677979
4161836;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2200,39766677979
4161836;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2200,39766677979
4161836;1;5;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2200,39766677979
4161836;1;6;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2200,39766677979
4161836;1;7;2;2;5; ;3;5; ;1;3;5; ;1; ;10;2200,39766677979
4161837;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2262,3207230071
4161838;1;1;1;1; ; ;3;8; ;1;2; ; ;1; ;10;945,341165693587
4161838;1;2;1;1; ; ;3;8; ;1;2; ; ;1; ;10;945,341165693587
4161838;1;3;1;1; ; ;3;8; ;1;2; ; ;1; ;10;945,341165693587
4161839;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1163,36800908541
4161839;1;2;2;2;15; ;2; ; ;1;2; ; ;1; ;10;1163,36800908541
4161840;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;2094,3711490546
4161840;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;2094,3711490546
4161840;1;3;2;2;5; ;3;5; ;2;3;5; ;1; ;10;2094,3711490546
4161841;1;1;2;2;76; ;2; ; ;1;2; ; ;1; ;10;1061,94060114202
4161841;1;2;2;2;76; ;2; ; ;1;2; ; ;1; ;10;1061,94060114202
4161841;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1061,94060114202
4161841;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1061,94060114202
4161841;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1061,94060114202
4161841;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1061,94060114202
4161842;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;839,674890765203
4161842;1;2;1;1; ; ;2; ; ;1;4; ;4; ;7;10;839,674890765203
4161842;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;839,674890765203
4161842;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;839,674890765203
4161842;1;5;2;1; ; ;3;73; ;2;3;25; ;1; ;10;839,674890765203
4161843;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1164,36232660113
4161843;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1164,36232660113
4161843;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1164,36232660113
4161843;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1164,36232660113
4161843;1;5;1;2;5; ;2; ; ;1;2; ; ;1; ;10;1164,36232660113
4161843;1;6;1;1; ; ;1; ; ; ;1; ; ; ; ;10;1164,36232660113
4161844;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1087,72039220807
4161844;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1087,72039220807
4161845;1;1;2;2;5; ;3;5; ;1;2; ; ;1; ;10;1283,64531396642
4161845;1;2;2;2;5; ;3;5; ;1;2; ; ;1; ;10;1283,64531396642
4161845;1;3;2;2;5; ;3;5; ;1;2; ; ;1; ;10;1283,64531396642
4161846;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1211,04684536588
4161846;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1211,04684536588
4161846;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1211,04684536588
4161847;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1163,36800908541
4161847;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1163,36800908541
4161848;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1203,90282676618
4161849;1;1;1;2;5; ;2; ; ;1;2; ; ;1; ;10;1090,62554382278
4161849;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1090,62554382278
4161850;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1020,98878257093
4161850;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1020,98878257093
4161850;2;1;2;2;15; ;2; ; ;1;2; ; ;1; ;10;1020,98878257093
4161851;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;10;1018,08363095622
4161851;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1018,08363095622
4161851;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1018,08363095622
4161852;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1334,2293018616
4161852;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1334,2293018616
4161852;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1334,2293018616
4161852;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1334,2293018616
4161853;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;10;1151,24465949679
4161853;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1151,24465949679
4161853;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1151,24465949679
4161853;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1151,24465949679
4161854;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1040,0415559276
4161855;1;1;2;1; ; ;4; ;1; ;2; ; ;1; ;10;1040,0415559276
4161856;1;1;2;2;66; ;2; ; ;1;2; ; ;1; ;10;1090,62554382278
4161856;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1090,62554382278
4161857;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;851,317208502935
4161857;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;10;851,317208502935
4161857;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;851,317208502935
4161858;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1294,87354314831
4161858;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1294,87354314831
4161858;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1294,87354314831
4161858;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;10;1294,87354314831
4161858;1;5;1;2;5; ;2; ; ;1;2; ; ;1; ;10;1294,87354314831
