Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4296028;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1001,53650110647
4296029;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;04;859,860960342092
4296029;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;04;859,860960342092
4296029;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;04;859,860960342092
4296029;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;04;859,860960342092
4296029;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;04;859,860960342092
4296030;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1219,23236600287
4296030;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;04;1219,23236600287
4296030;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;04;1219,23236600287
4296031;1;1;2;2;5; ;3;76; ;1;2; ; ;1; ;04;798,181049126425
4296031;1;2;2;2;5; ;3;76; ;1;2; ; ;1; ;04;798,181049126425
4296031;1;3;2;2;5; ;3;76; ;1;2; ; ;1; ;04;798,181049126425
4296032;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;04;958,711050221948
4296032;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;04;958,711050221948
4296033;1;1;2;2;5; ;3;5; ;1;2; ; ;1; ;04;1287,2802656971
4296033;1;2;2;2;5; ;3;5; ;1;2; ; ;1; ;04;1287,2802656971
4296034;1;1;2;2;76; ;2; ; ;1;2; ; ;1; ;04;682,231071336131
4296034;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;04;682,231071336131
4296034;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;04;682,231071336131
4296034;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;04;682,231071336131
4296034;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;04;682,231071336131
4296034;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;04;682,231071336131
4296034;1;7;1;1; ; ;2; ; ;1;2; ; ;1; ;04;682,231071336131
4296035;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;04;657,994582073425
4296035;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;04;657,994582073425
4296035;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;04;657,994582073425
4296037;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;04;1254,33023573715
