Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4367127;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;07;2732,03338505246
4367127;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2732,03338505246
4367127;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2732,03338505246
4367127;1;4;1;2;76; ;2; ; ;1;2; ; ;1; ;07;2732,03338505246
4367128;1;1;2;2;81; ;3;73; ;1;2; ; ;1; ;07;2885,4115671578
4367128;1;2;2;2;76; ;2; ; ;1;2; ; ;1; ;07;2885,4115671578
4367129;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;07;2727,46046971757
4367129;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2727,46046971757
4367129;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2727,46046971757
4367129;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2727,46046971757
4367130;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2885,4115671578
4367130;1;2;2;2;76; ;2; ; ;1;2; ; ;1; ;07;2885,4115671578
4367131;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2008,19638521542
4367131;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2008,19638521542
4367131;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2008,19638521542
4367131;1;4;2;1; ; ;2; ; ;1;2; ; ;1; ;07;2008,19638521542
4367131;1;5;2;2;76; ;1; ; ; ;2; ; ;1; ;07;2008,19638521542
4367132;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;1934,1748214959
4367132;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;1934,1748214959
4367132;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;1934,1748214959
4367132;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;07;1934,1748214959
4367132;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;07;1934,1748214959
4367132;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;07;1934,1748214959
4367132;1;7;1;1; ; ;2; ; ;1;2; ; ;1; ;07;1934,1748214959
4367133;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2773,15136012583
4367133;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2773,15136012583
4367133;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2773,15136012583
4367134;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2688,70845718057
4367134;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2688,70845718057
4367134;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2688,70845718057
4367135;1;1;2;2;19; ;2; ; ;1;2; ; ;1; ;07;1980,19670104234
4367136;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2547,2428241685
4367136;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2547,2428241685
4367136;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2547,2428241685
4367136;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2547,2428241685
4367136;1;5;1;1; ; ;1; ; ; ;1; ; ; ; ;07;2547,2428241685
4367137;1;1;2;2;52; ;2; ; ;2;2; ; ;1; ;07;1879,33984401343
4367137;1;2;1;1; ; ;2; ; ;2;2; ; ;1; ;07;1879,33984401343
4367137;1;3;1;1; ; ;2; ; ;2;2; ; ;1; ;07;1879,33984401343
4367137;1;4;1;1; ; ;2; ; ;2;2; ; ;1; ;07;1879,33984401343
4367137;1;5;1;1; ; ;1; ; ; ;1; ; ; ; ;07;1879,33984401343
4367138;1;1;1;2;27; ;2; ; ;1;2; ; ;1; ;07;2553,20386139678
4367138;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2553,20386139678
4367138;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2553,20386139678
4367138;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2553,20386139678
4367138;1;5;1;1; ; ;1; ; ; ;2; ; ;1; ;07;2553,20386139678
4367139;1;1;2;2;19; ;2; ; ;1;2; ; ;1; ;07;1980,19670104234
4367140;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2373,20459164845
4367140;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2373,20459164845
4367140;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2373,20459164845
4367141;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2423,46839739161
4367141;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2423,46839739161
4367142;1;1;1;2;27; ;2; ; ;1;2; ; ;1; ;07;2373,20459164845
4367142;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2373,20459164845
4367142;1;3;2;2;27; ;2; ; ;1;2; ; ;1; ;07;2373,20459164845
4367143;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2670,03698376365
4367143;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2670,03698376365
4367143;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2670,03698376365
4367143;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;07;2670,03698376365
4367144;1;1;2;2;27; ;2; ; ;1;2; ; ;1; ;07;1980,19670104234
4367145;1;1;2;2;27; ;2; ; ;1;2; ; ;1; ;07;1980,19670104234
4367146;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2372,98621584771
4367146;1;2;1;2;52; ;2; ; ;1;2; ; ;1; ;07;2372,98621584771
4367146;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2372,98621584771
4367146;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2372,98621584771
4367146;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2372,98621584771
4367146;1;6;1;1; ; ;1; ; ; ;2; ; ;1; ;07;2372,98621584771
4367147;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2161,57456732076
4367147;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2161,57456732076
4367147;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2161,57456732076
4367148;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2687,6155766614
4367156;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2470,13955498161
4367156;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2470,13955498161
4367156;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2470,13955498161
4367156;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2470,13955498161
4367156;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2470,13955498161
4367157;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2113,12137657378
4367157;1;2;1;1; ; ;2; ; ;2;2; ; ;1; ;07;2113,12137657378
4367158;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2040,88184601124
4367158;1;2;1;1; ; ;1; ; ; ;2; ; ;1; ;07;2040,88184601124
4367159;1;1;2;2;27; ;2; ; ;1;2; ; ;1; ;07;2579,92828496432
4367159;1;2;1;1; ; ;1; ; ; ;2; ; ;1; ;07;2579,92828496432
4367163;1;1;2;2;27; ;2; ; ;1;2; ; ;1; ;07;2282,87751704839
4367163;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2282,87751704839
4367163;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;07;2282,87751704839
4367163;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;07;2282,87751704839
4367164;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2287,66880818402
4367165;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2687,6155766614
4367166;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2496,97901842534
4367166;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2496,97901842534
4367166;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2496,97901842534
4367166;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2496,97901842534
4367166;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2496,97901842534
4367166;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2496,97901842534
4367167;1;1;1;1; ; ;2; ; ;2;2; ; ;1; ;07;2687,6155766614
4367175;1;1;2;2;27; ;2; ; ;1;2; ; ;1; ;07;2509,98444803778
4367175;1;2;2;2;27; ;2; ; ;1;2; ; ;1; ;07;2509,98444803778
4367175;1;3;2;2;27; ;2; ; ;1;2; ; ;1; ;07;2509,98444803778
4367175;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;07;2509,98444803778
4367175;1;5;2;2;27; ;3;27; ;2;2; ; ;1; ;07;2509,98444803778
4367175;1;6;2;2;27; ;3;27; ;2;2; ; ;1; ;07;2509,98444803778
4367175;1;7;2;2;27; ;3;27; ;2;2; ; ;1; ;07;2509,98444803778
4367175;1;8;2;2;27; ;3;27; ;2;2; ; ;1; ;07;2509,98444803778
4367176;1;1;2;2;27; ;2; ; ;1;2; ; ;1; ;07;1795,40614015838
4367176;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;1795,40614015838
4367177;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2732,03338505246
4367177;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2732,03338505246
4367177;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2732,03338505246
4367177;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2732,03338505246
4367178;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;07;2569,50937227733
4367178;1;2;2;2;52; ;2; ; ;1;2; ; ;1; ;07;2569,50937227733
