Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4343286;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1166,82877466154
4343286;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1166,82877466154
4343287;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1057,21102579429
4343287;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1057,21102579429
4343287;1;3;1;1; ; ;1; ; ; ;1; ; ; ; ;06;1057,21102579429
4343288;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1079,54512050267
4343288;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1079,54512050267
4343288;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1079,54512050267
4343288;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1079,54512050267
4343288;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1079,54512050267
4343289;1;1;2;2;76; ;2; ; ;1;2; ; ;1; ;06;878,826657205256
4343289;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;06;878,826657205256
4343289;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;06;878,826657205256
4343290;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1374,66744244188
4343290;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1374,66744244188
4343291;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1286,30628025283
4343291;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1286,30628025283
4343291;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;06;1286,30628025283
4343292;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1022,91120412128
4343292;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1022,91120412128
4343292;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1022,91120412128
4343293;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;06;930,736285557947
4343293;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;06;930,736285557947
4343294;1;1;2;2;13; ;3;13; ;1;2; ; ;1; ;06;1272,2657927603
4343294;1;2;2;2;13; ;3;13; ;1;2; ; ;1; ;06;1272,2657927603
4343294;1;3;2;2;13; ;3;13; ;1;2; ; ;1; ;06;1272,2657927603
4343294;1;4;2;2;13; ;1; ; ; ;2; ; ;1; ;06;1272,2657927603
4343295;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;06;862,35707526469
4343295;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;06;862,35707526469
4343295;1;3;1;1; ; ;1; ; ; ;2; ; ;1; ;06;862,35707526469
4343295;1;4;2;2;5; ;3;5; ;2;3;5; ;2;3;06;862,35707526469
4343295;1;5;2;2;5; ;3;5; ;2;2; ; ;1; ;06;862,35707526469
4343295;1;6;2;1; ; ;3;11; ;1;2; ; ;1; ;06;862,35707526469
4343296;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;06;1107,99886329924
4343296;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1107,99886329924
4343297;1;1;2;2;20; ;2; ; ;1;2; ; ;1; ;06;784,575133322184
4343297;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;06;784,575133322184
4343297;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;06;784,575133322184
4343298;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;06;976,999989403756
4343298;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;06;976,999989403756
4343299;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1138,67084804103
4343299;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;06;1138,67084804103
4343299;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;06;1138,67084804103
4343299;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1138,67084804103
4343299;1;5;2;2;70; ;3;11; ;1;2; ; ;1; ;06;1138,67084804103
4343300;1;1;2;2;17; ;2; ; ;1;2; ; ;1; ;06;1071,25151328683
4343300;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;06;1071,25151328683
4343301;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1022,91120412128
4343301;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1022,91120412128
4343301;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1022,91120412128
4343302;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;06;878,826657205256
4343302;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;06;878,826657205256
4343302;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;06;878,826657205256
4343303;1;1;2;2;13; ;2; ; ;1;2; ; ;1; ;06;1022,91120412128
4343303;1;2;2;2;13; ;4; ;3; ;2; ; ;1; ;06;1022,91120412128
4343303;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;06;1022,91120412128
4343304;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1053,66014049851
4343304;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;06;1053,66014049851
4343304;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;06;1053,66014049851
4343304;1;4;1;2;5; ;2; ; ;1;2; ; ;1; ;06;1053,66014049851
4343304;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;06;1053,66014049851
4343305;1;1;2;2;5; ;3;5; ;1;2; ; ;1; ;06;845,996054441216
