Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4319367;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3710,67664845546
4319367;1;2;2;2;63; ;2; ; ;1;2; ; ;1; ;05;3710,67664845546
4319368;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3780,39040592924
4319368;1;2;2;2;52; ;2; ; ;1;2; ; ;1; ;05;3780,39040592924
4319369;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3630,36268961015
4319369;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3630,36268961015
4319369;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3630,36268961015
4319369;1;4;1;2;76; ;1; ; ; ;1; ; ; ; ;05;3630,36268961015
4319370;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4523,63812529215
4319370;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4523,63812529215
4319370;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4523,63812529215
4319370;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4523,63812529215
4319370;1;5;1;1; ; ;1; ; ; ;2; ; ;1; ;05;4523,63812529215
4319371;1;1;2;1; ; ;4; ;11; ;4; ;11; ;8;05;3453,5197988297
4319371;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;05;3453,5197988297
4319372;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3266,13890210643
4319372;1;2;1;1; ; ;3;76; ;1;2; ; ;1; ;05;3266,13890210643
4319372;1;3;1;1; ; ;1; ; ; ;1; ; ; ; ;05;3266,13890210643
4319384;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;05;3515,14608734144
4319384;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3515,14608734144
4319384;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3515,14608734144
4319385;1;1;2;2;19; ;2; ; ;1;2; ; ;1; ;05;4280,70375298124
4319385;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4280,70375298124
4319385;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4280,70375298124
4319385;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4280,70375298124
4319385;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4280,70375298124
4319386;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4751,91254424923
4319386;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4751,91254424923
4319386;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4751,91254424923
4319386;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4751,91254424923
4319386;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4751,91254424923
4319386;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4751,91254424923
4319386;1;7;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4751,91254424923
4319386;1;8;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4751,91254424923
4319386;1;9;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4751,91254424923
4319386;1;10;1;1; ; ;1; ; ; ;2; ; ;1; ;05;4751,91254424923
4319386;1;11;1;1; ; ;1; ; ; ;2; ; ;1; ;05;4751,91254424923
4319387;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4085,30060572284
4319387;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4085,30060572284
4319387;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4085,30060572284
4319387;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4085,30060572284
4319387;1;5;1;1; ; ;1; ; ; ;2; ; ;1; ;05;4085,30060572284
4319387;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4085,30060572284
4319389;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4875,5577851631
4319389;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4875,5577851631
4319389;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4875,5577851631
4319389;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4875,5577851631
4319389;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4875,5577851631
4319389;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4875,5577851631
4319389;1;7;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4875,5577851631
4319390;1;1;2;2;52; ;2; ; ;1;2; ; ;1; ;05;4840,39713214177
4319390;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4840,39713214177
4319390;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4840,39713214177
4319390;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4840,39713214177
4319390;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4840,39713214177
4319390;1;6;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4840,39713214177
4319390;1;7;1;1; ; ;1; ; ; ;2; ; ;1; ;05;4840,39713214177
4319394;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4075,1806361851
4319396;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3603,56753273167
4319396;1;2;2;2;19; ;2; ; ;1;2; ; ;1; ;05;3603,56753273167
4319396;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3603,56753273167
4319396;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3603,56753273167
4319397;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3825,90697494381
4319397;1;2;2;2;52; ;2; ; ;1;2; ; ;1; ;05;3825,90697494381
4319397;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3825,90697494381
4319397;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3825,90697494381
4319398;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3962,05967699441
4319399;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3453,5197988297
4319399;1;2;2;2;27; ;2; ; ;1;2; ; ;1; ;05;3453,5197988297
4319402;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3632,51423475363
4319402;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3632,51423475363
4319402;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3632,51423475363
4319406;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4075,1806361851
4319408;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3255,87987041803
4319411;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3541,94124421993
4319411;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3541,94124421993
4319411;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3541,94124421993
4319419;1;1;2;3; ;11;3;54; ;1;2; ; ;1; ;05;1144,23086383601
4319419;1;2;2;3; ;11;4; ;11; ;2; ; ;1; ;05;1144,23086383601
4319420;1;1;1;2;8; ;2; ; ;1;2; ; ;1; ;05;1431,32662123176
4319420;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;05;1431,32662123176
4319420;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;1431,32662123176
