Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4465565;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;966,078160829104
4465566;1;1;1;1; ; ;4; ;11; ;2; ; ;1; ;11;1571,91316733135
4465566;1;2;2;2;5; ;4; ;11; ;2; ; ;1; ;11;1571,91316733135
4465566;1;3;2;3; ;11;4; ;11; ;2; ; ;1; ;11;1571,91316733135
4465566;1;4;2;3; ;11;4; ;11; ;2; ; ;1; ;11;1571,91316733135
4465567;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1026,54761984702
4465567;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1026,54761984702
4465567;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1026,54761984702
4465567;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1026,54761984702
4465567;1;5;1;2;5; ;2; ; ;1;2; ; ;1; ;11;1026,54761984702
4465568;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1085,3318409922
4465568;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1085,3318409922
4465568;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1085,3318409922
4465568;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1085,3318409922
4465568;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1085,3318409922
4465569;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1233,23097871389
4465569;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;11;1233,23097871389
4465569;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1233,23097871389
4465569;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1233,23097871389
4465569;1;5;1;2;5; ;2; ; ;1;2; ; ;1; ;11;1233,23097871389
4465569;1;6;1;1; ; ;1; ; ; ;2; ; ;1; ;11;1233,23097871389
4465569;1;7;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1233,23097871389
4465569;1;8;2;2;68; ;2; ; ;1;2; ; ;1; ;11;1233,23097871389
4465570;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1233,85492683702
4465571;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1159,77281295708
4465571;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1159,77281295708
4465571;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;11;1159,77281295708
4465572;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;11;955,564494733373
4465572;1;2;2;2;23; ;2; ; ;1;2; ; ;1; ;11;955,564494733373
4465573;1;1;2;2;23; ;2; ; ;1;2; ; ;1; ;11;1571,91316733135
4465573;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1571,91316733135
4465573;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1571,91316733135
4465573;1;4;1;1; ; ;1; ; ; ;1; ; ; ; ;11;1571,91316733135
4465574;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;937,60095377837
4465574;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;11;937,60095377837
4465574;1;3;2;2;5; ;3;5; ;1;2; ; ;1; ;11;937,60095377837
4465575;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;834,403178830137
4465575;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;11;834,403178830137
4465575;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;11;834,403178830137
4465575;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;11;834,403178830137
4465575;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;11;834,403178830137
4465576;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1124,31365984949
4465576;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1124,31365984949
4465576;1;3;2;2;5; ;3;5; ;1;2; ; ;1; ;11;1124,31365984949
4465577;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1027,64576282798
4465577;1;2;2;2;17; ;2; ; ;1;2; ; ;1; ;11;1027,64576282798
4465579;1;1;2;1; ; ;3;5; ;1;2; ; ;1; ;11;876,033351779496
4465579;1;2;2;2;5; ;3;5; ;1;3;5; ;1; ;11;876,033351779496
4465580;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1571,91316733135
4465580;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1571,91316733135
4465580;1;3;1;2;5; ;1; ; ; ;2; ; ;1; ;11;1571,91316733135
4465580;1;4;1;2;5; ;1; ; ; ;1; ; ; ; ;11;1571,91316733135
4465581;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1027,64576282798
4465581;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1027,64576282798
4465582;1;1;2;2;5; ;3;5; ;1;2; ; ;1; ;11;1052,23239175489
4465582;1;2;2;2;5; ;3;5; ;1;2; ; ;1; ;11;1052,23239175489
4465582;1;3;2;2;5; ;3;5; ;1;2; ; ;1; ;11;1052,23239175489
4465585;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;953,204790863093
4465585;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;11;953,204790863093
4465585;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;11;953,204790863093
4465585;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;11;953,204790863093
4465588;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1013,73621790515
4465588;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1013,73621790515
4465588;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1013,73621790515
4465588;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1013,73621790515
4465589;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;11;970,411752793897
4465589;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;11;970,411752793897
4465589;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;11;970,411752793897
4465589;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;11;970,411752793897
4465590;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1052,23239175489
4465590;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1052,23239175489
4465590;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1052,23239175489
4465591;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1247,44886384724
4465591;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1247,44886384724
4465591;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1247,44886384724
4465591;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1247,44886384724
4465591;1;5;2;2;41; ;3;5; ;2;2; ; ;1; ;11;1247,44886384724
4465592;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1198,75463181438
4465593;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1188,24096571865
4465593;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1188,24096571865
4465594;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1221,34041495596
4465594;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1221,34041495596
4465594;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;11;1221,34041495596
4465594;1;4;1;1; ; ;1; ; ; ;2; ; ;1; ;11;1221,34041495596
4465595;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1571,91316733135
4465595;1;2;2;2;5; ;3;5; ;1;2; ; ;1; ;11;1571,91316733135
4465595;1;3;2;2;5; ;3;5; ;1;2; ; ;1; ;11;1571,91316733135
4465595;1;4;1;1; ; ;1; ; ; ;1; ; ; ; ;11;1571,91316733135
4465596;1;1;2;2;76; ;2; ; ;1;2; ; ;1; ;11;814,473989619638
4465596;1;2;2;2;76; ;2; ; ;1;2; ; ;1; ;11;814,473989619638
4465596;1;3;2;2;66; ;2; ; ;1;2; ; ;1; ;11;814,473989619638
4465596;1;4;2;2;76; ;2; ; ;1;2; ; ;1; ;11;814,473989619638
4465597;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1256,08185189365
4465597;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1256,08185189365
4465597;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;11;1256,08185189365
