Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4417163;1;1;2;2;8; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
4417163;1;2;2;2;76; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
4417164;1;1;2;2;25; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
4417164;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
4417164;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
4417165;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;09;389,137612519679
4417165;1;2;2;2;66; ;2; ; ;1;2; ; ;1; ;09;389,137612519679
4417165;1;3;2;2;63; ;2; ; ;1;2; ; ;1; ;09;389,137612519679
4417166;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
4417166;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
4417167;1;1;2;2;63; ;3;63; ;1;2; ; ;1; ;09;389,137612519679
4417167;1;2;2;3; ;3;4; ;3; ;4; ;3; ;4;09;389,137612519679
4417167;1;3;2;2;63; ;3;63; ;1;2; ; ;1; ;09;389,137612519679
4417168;1;1;2;1; ; ;3;68; ;1;3;68; ;1; ;09;304,322743103522
4417169;1;1;2;2;73; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
4417169;1;2;2;2;63; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
4417170;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;09;389,137612519679
4417170;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;09;389,137612519679
4417170;1;3;2;2;63; ;2; ; ;1;2; ; ;1; ;09;389,137612519679
4417171;1;1;2;2;63; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
4417171;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;09;304,322743103522
