Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
4561958;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1452,23177927937
4561958;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1452,23177927937
4561958;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1452,23177927937
4561959;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1174,95201149922
4561959;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1174,95201149922
4561960;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1139,17623727894
4561961;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;03;994,042537632145
4561961;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;03;994,042537632145
4561961;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;03;994,042537632145
4561961;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;03;994,042537632145
4561961;1;5;2;2;5; ;2; ; ;1;2; ; ;1; ;03;994,042537632145
4561961;1;6;2;2;5; ;2; ; ;1;2; ; ;1; ;03;994,042537632145
4561961;1;7;2;2;5; ;1; ; ; ;3;5; ;1; ;03;994,042537632145
4561962;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1461,12872053913
4561962;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1461,12872053913
4561962;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1461,12872053913
4561962;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1461,12872053913
4561963;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1174,95201149922
4561963;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1174,95201149922
4561964;1;1;2;2;63; ;2; ; ;1;2; ; ;1; ;03;1124,08191290872
4561964;1;2;2;2;63; ;2; ; ;1;2; ; ;1; ;03;1124,08191290872
4561964;1;3;2;2;63; ;2; ; ;1;2; ; ;1; ;03;1124,08191290872
4561964;1;4;2;2;63; ;2; ; ;1;2; ; ;1; ;03;1124,08191290872
4561965;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1340,57206486829
4561965;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1340,57206486829
4561965;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1340,57206486829
4561965;1;4;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1340,57206486829
4561966;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;03;995,990716595534
4561966;2;1;2;2;5; ;3;5; ;1;2; ; ;1; ;03;995,990716595534
4561967;1;1;2;1; ; ;2; ; ;1;3;5; ;1; ;03;1184,25385010133
4561967;1;2;2;1; ; ;1; ; ; ;3;5; ;1; ;03;1184,25385010133
4561968;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;03;776,894666286075
4561968;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;03;776,894666286075
4561968;1;3;2;2;5; ;2; ; ;1;2; ; ;1; ;03;776,894666286075
4561968;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;03;776,894666286075
4561968;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;03;776,894666286075
4561969;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1204,24164668185
4561969;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1204,24164668185
4561969;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1204,24164668185
4561970;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;03;749,595268389753
4561970;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;03;749,595268389753
4561970;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;03;749,595268389753
4561970;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;03;749,595268389753
4561970;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;03;749,595268389753
4561970;1;6;2;2;5; ;2; ; ;1;2; ; ;1; ;03;749,595268389753
4561971;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1194,93980807974
4561971;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1194,93980807974
4561971;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1194,93980807974
4561972;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1072,16264891264
4561972;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1072,16264891264
4561972;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1072,16264891264
4561972;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1072,16264891264
4561973;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1174,95201149922
4561973;1;2;1;2;5; ;2; ; ;1;2; ; ;1; ;03;1174,95201149922
4561974;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;03;1132,72603212433
4561974;1;2;2;2;66; ;2; ; ;1;2; ; ;1; ;03;1132,72603212433
4561976;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1823,2448061416
4561976;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1823,2448061416
4561976;1;3;1;2;5; ;2; ; ;1;2; ; ;1; ;03;1823,2448061416
4561976;1;4;1;2;5; ;1; ; ; ;1; ; ; ; ;03;1823,2448061416
4561976;1;5;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1823,2448061416
4561976;1;6;2;2;5; ;2; ; ;1;2; ; ;1; ;03;1823,2448061416
4561977;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;03;832,81739933161
4561977;1;2;2;2;5; ;2; ; ;1;2; ; ;1; ;03;832,81739933161
4561978;1;1;2;2;5; ;3;5; ;1;2; ; ;1; ;03;1221,35122037961
4561978;1;2;2;2;70; ;3;70; ;2;2; ; ;1; ;03;1221,35122037961
4561978;1;3;1;1; ; ;1; ; ; ;1; ; ; ; ;03;1221,35122037961
4561979;1;1;2;3; ;3;4; ;3; ;2; ; ;1; ;03;1155,16056480999
4561979;1;2;2;3; ;3;4; ;3; ;4; ;3; ;10;03;1155,16056480999
4561979;1;3;2;3; ;3;4; ;3; ;4; ;3; ;10;03;1155,16056480999
4561979;1;4;2;3; ;3;4; ;3; ;4; ;3; ;10;03;1155,16056480999
